Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Michael Jordan,33,CHI,575,575,1,115,0,0,82,37.9,29.6,5.9,4.3,1.7,0.5,.486,.374,.833,18.3,.283,jordami01
1st,F,Karl Malone,33,UTA,575,575,1,115,0,0,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268,malonka01
1st,C,Hakeem Olajuwon,34,HOU,514,575,0.894,89,,,78,36.6,23.2,9.2,3.0,1.5,2.2,.510,.313,.787,9.1,.154,olajuha01
1st,F,Grant Hill,24,DET,483,575,0.84,76,,,80,39.3,21.4,9.0,7.3,1.8,0.6,.496,.303,.711,14.6,.223,hillgr01
1st,G,Tim Hardaway,30,MIA,435,575,0.757,62,,,81,38.7,20.3,3.4,8.6,1.9,0.1,.415,.344,.799,12.9,.198,hardati01
2nd,G,Gary Payton,28,SEA,386,575,0.671,42,,,82,39.2,21.8,4.6,7.1,2.4,0.2,.476,.313,.715,12.9,.193,paytoga01
2nd,F,Scottie Pippen,31,CHI,337,575,0.586,19,,,82,37.7,20.2,6.5,5.7,1.9,0.5,.474,.368,.701,13.1,.203,pippesc01
2nd,C,Patrick Ewing,34,NYK,327,575,0.569,20,,,78,37.0,22.4,10.7,2.0,0.9,2.4,.488,.222,.754,9.8,.163,ewingpa01
2nd,F,Glen Rice,29,CHH,316,575,0.55,20,,,79,42.6,26.8,4.0,2.0,0.9,0.3,.477,.470,.867,10.8,.154,ricegl01
2nd,G,Mitch Richmond,31,SAC,198,575,0.344,1,,,81,38.6,25.9,3.9,4.2,1.5,0.3,.454,.428,.861,10.8,.166,richmmi01
3rd,G,John Stockton,34,UTA,142,575,0.247,6,,,82,35.3,14.4,2.8,10.5,2.0,0.2,.548,.422,.846,13.6,.226,stockjo01
3rd,F,Anthony Mason,30,CHH,110,575,0.191,0,,,73,43.1,16.2,11.4,5.7,1.0,0.5,.525,.333,.745,11.4,.173,masonan01
3rd,C,Shaquille O'Neal,24,LAL,72,575,0.125,3,,,51,38.1,26.2,12.5,3.1,0.9,2.9,.557,.000,.484,8.0,.197,onealsh01
3rd,G,Anfernee Hardaway,25,ORL,62,575,0.108,2,,,59,37.6,20.5,4.5,5.6,1.6,0.6,.447,.318,.820,8.1,.175,hardaan01
