Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
3rd,F,Vin Baker,25,MIL,61,575,0.106,0,,,78,40.5,21.0,10.3,2.7,1.0,1.4,.505,.278,.687,8.3,.127,bakervi01
ORV,C,Alonzo Mourning,26,MIA,67,575,0.117,0,,,66,35.2,19.8,9.9,1.6,0.8,2.9,.534,.111,.642,8.4,.174,mournal01
ORV,F,Tom Gugliotta,27,MIN,60,575,0.104,0,,,81,38.7,20.6,8.7,4.1,1.6,1.1,.442,.258,.820,6.7,.103,guglito01
ORV,G,Mookie Blaylock,29,ATL,57,575,0.099,1,,,78,39.2,17.4,5.3,5.9,2.7,0.3,.432,.366,.753,12.5,.197,blaylmo01
ORV,G,Kevin Johnson,30,PHO,57,575,0.099,1,,,70,38.0,20.1,3.6,9.3,1.5,0.2,.496,.441,.852,11.7,.211,johnske02
ORV,C,Dikembe Mutombo,30,ATL,55,575,0.096,3,,,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183,mutomdi01
ORV,F,Charles Barkley,33,HOU,47,575,0.082,0,,,53,37.9,19.2,13.5,4.7,1.3,0.5,.484,.283,.694,9.4,.224,barklch01
ORV,G,Latrell Sprewell,26,GSW,44,575,0.077,0,,,80,41.9,24.2,4.6,6.3,1.7,0.6,.449,.354,.843,8.1,.115,sprewla01
ORV,G,Terrell Brandon,26,CLE,30,575,0.052,0,,,78,36.8,19.5,3.9,6.3,1.8,0.4,.438,.373,.902,10.8,.181,brandte01
ORV,F,Chris Webber,23,WSB,29,575,0.05,0,,,72,39.0,20.1,10.3,4.6,1.7,1.9,.518,.397,.565,9.3,.159,webbech01
ORV,G,Eddie Jones,25,LAL,25,575,0.043,0,,,80,37.5,17.2,4.1,3.4,2.4,0.6,.438,.391,.819,9.6,.154,jonesed02
ORV,F,Christian Laettner,27,ATL,20,575,0.035,0,,,82,38.3,18.1,8.8,2.7,1.2,0.8,.486,.352,.816,11.6,.177,laettch01
ORV,G,Mark Jackson,31,TOT,11,575,0.019,0,,,82,37.2,9.9,4.8,11.4,1.2,0.1,.426,.371,.789,6.1,.097,jacksma01
ORV,F,Shawn Kemp,27,SEA,11,575,0.019,0,,,81,34.0,18.7,10.0,1.9,1.5,1.0,.510,.364,.742,10.0,.174,kempsh01
ORV,G,Steve Smith,27,ATL,11,575,0.019,0,,,72,39.1,20.1,3.3,4.2,0.9,0.3,.429,.335,.847,9.1,.154,smithst01
ORV,G,Reggie Miller,31,IND,9,575,0.016,0,,,81,36.6,21.6,3.5,3.4,0.9,0.3,.444,.427,.880,12.3,.200,millere01
ORV,F,Dennis Rodman,35,CHI,9,575,0.016,0,,,55,35.4,5.7,16.1,3.1,0.6,0.3,.448,.263,.568,6.0,.148,rodmade01
ORV,G,Damon Stoudamire,23,TOR,8,575,0.014,0,,,81,40.9,20.2,4.1,8.8,1.5,0.2,.401,.355,.823,7.6,.110,stoudda01
ORV,G,Rod Strickland,30,WSB,7,575,0.012,0,,,82,36.5,17.2,4.1,8.9,1.7,0.2,.466,.169,.738,8.8,.141,stricro02
ORV,G,Kenny Anderson,26,POR,6,575,0.01,0,,,82,37.6,17.5,4.4,7.1,2.0,0.2,.427,.361,.768,12.4,.193,anderke01
ORV,F,Kevin Garnett,20,MIN,6,575,0.01,0,,,77,38.9,17.0,8.0,3.1,1.4,2.1,.499,.286,.754,7.3,.116,garneke01
ORV,G,Allen Iverson,21,PHI,3,575,0.005,0,,,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065,iversal01
ORV,F,Loy Vaught,28,LAC,3,575,0.005,0,,,82,34.6,14.9,10.0,1.3,1.0,0.3,.500,.167,.702,6.3,.106,vaughlo01
ORV,G,Nick Van Exel,25,LAL,2,575,0.003,0,0,2,79,37.2,15.3,2.9,8.5,0.9,0.1,.402,.378,.825,7.2,.118,vanexni01
ORV,G,Kendall Gill,28,NJN,1,575,0.002,0,0,1,82,39.0,21.8,6.1,4.0,1.9,0.6,.443,.336,.797,8.8,.132,gillke01
ORV,G,Jason Kidd,23,TOT,1,575,0.002,0,0,1,55,35.7,10.9,4.5,9.0,2.3,0.4,.403,.370,.679,4.4,.107,kiddja01
ORV,F,Clifford Robinson,30,POR,1,575,0.002,0,0,1,81,38.0,15.1,4.0,3.2,1.2,0.8,.426,.346,.696,6.6,.103,robincl02
ORV,F,Glenn Robinson,24,MIL,1,575,0.002,0,0,1,80,38.9,21.1,6.3,3.1,1.3,0.9,.465,.350,.791,4.7,.072,robingl01
ORV,F,Antoine Walker,20,BOS,1,575,0.002,0,0,1,82,36.2,17.5,9.0,3.2,1.3,0.6,.425,.327,.631,1.7,.027,walkean02
