Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Michael Jordan,34,CHI,580,580,1,116,0,0,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238,jordami01
1st,F,Karl Malone,34,UTA,580,580,1,116,0,0,81,37.4,27.0,10.3,3.9,1.2,0.9,.530,.333,.761,16.4,.259,malonka01
1st,G,Gary Payton,29,SEA,561,580,0.967,108,,,82,38.4,19.2,4.6,8.3,2.3,0.2,.453,.338,.744,12.5,.190,paytoga01
1st,C,Shaquille O'Neal,25,LAL,544,580,0.938,103,,,60,36.3,28.3,11.4,2.4,0.7,2.4,.584,,.527,10.2,.224,onealsh01
1st,F,Tim Duncan,21,SAS,370,580,0.638,45,,,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192,duncati01
2nd,G,Tim Hardaway,31,MIA,345,580,0.595,2,,,81,37.4,18.9,3.7,8.3,1.7,0.2,.431,.351,.781,11.7,.185,hardati01
2nd,C,David Robinson,32,SAS,332,580,0.572,13,,,73,33.7,21.6,10.6,2.7,0.9,2.6,.511,.250,.735,13.8,.269,robinda01
2nd,F,Grant Hill,25,DET,290,580,0.5,22,,,81,40.7,21.1,7.7,6.8,1.8,0.7,.452,.143,.740,10.2,.149,hillgr01
2nd,F,Vin Baker,26,SEA,269,580,0.464,10,,,82,35.9,19.2,8.0,1.9,1.1,1.0,.542,.143,.591,10.4,.169,bakervi01
2nd,G,Rod Strickland,31,WAS,173,580,0.298,4,,,76,39.7,17.8,5.3,10.5,1.7,0.3,.434,.250,.726,8.1,.129,stricro02
3rd,F,Scottie Pippen,32,CHI,201,580,0.347,23,,,44,37.5,19.1,5.2,5.8,1.8,1.0,.447,.318,.777,6.6,.193,pippesc01
3rd,F,Glen Rice,30,CHH,179,580,0.309,14,,,82,40.2,22.3,4.3,2.2,0.9,0.3,.457,.433,.849,9.3,.136,ricegl01
3rd,G,Mitch Richmond,32,SAC,139,580,0.24,0,,,70,36.7,23.2,3.3,4.0,1.3,0.2,.445,.389,.864,7.9,.148,richmmi01
3rd,G,Reggie Miller,32,IND,124,580,0.214,0,,,81,34.5,19.5,2.9,2.1,1.0,0.1,.477,.429,.868,12.0,.206,millere01
3rd,C,Dikembe Mutombo,31,ATL,80,580,0.138,0,,,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,mutomdi01
ORV,G,John Stockton,35,UTA,64,580,0.11,2,,,64,29.0,12.0,2.6,8.5,1.4,0.2,.528,.429,.827,8.0,.206,stockjo01
ORV,G,Jason Kidd,24,PHO,63,580,0.109,0,,,82,38.0,11.6,6.2,9.1,2.0,0.3,.416,.313,.799,8.0,.123,kiddja01
ORV,F,Antoine Walker,21,BOS,62,580,0.107,1,,,82,39.9,22.4,10.2,3.3,1.7,0.7,.423,.312,.645,4.7,.070,walkean02
ORV,G,Steve Smith,28,ATL,62,580,0.107,0,,,73,39.1,20.1,4.2,4.0,1.0,0.4,.444,.351,.855,10.2,.171,smithst01
ORV,F,Dennis Rodman,36,CHI,41,580,0.071,0,,,80,35.7,4.7,15.0,2.9,0.6,0.2,.431,.174,.550,7.8,.131,rodmade01
ORV,C,Alonzo Mourning,27,MIA,37,580,0.064,0,,,58,33.4,19.2,9.6,0.9,0.7,2.2,.551,,.665,7.5,.185,mournal01
ORV,F,Kevin Garnett,21,MIN,36,580,0.062,1,,,82,39.3,18.5,9.6,4.2,1.7,1.8,.491,.188,.738,9.6,.143,garneke01
ORV,F,Shawn Kemp,28,CLE,19,580,0.033,0,,,80,34.6,18.0,9.3,2.5,1.4,1.1,.445,.250,.727,6.8,.118,kempsh01
ORV,G,Michael Finley,24,DAL,17,580,0.029,0,,,82,41.4,21.5,5.3,4.9,1.6,0.4,.449,.357,.784,7.5,.106,finlemi01
ORV,C,Hakeem Olajuwon,35,HOU,16,580,0.028,0,,,47,34.7,16.4,9.8,3.0,1.8,2.0,.483,.000,.755,4.5,.131,olajuha01
