Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
ORV,G,Eddie Jones,26,LAL,15,580,0.026,0,,,80,36.4,16.9,3.8,3.1,2.0,0.7,.484,.389,.765,10.1,.166,jonesed02
ORV,C,Jayson Williams,29,NJN,13,580,0.022,0,,,65,36.0,12.9,13.6,1.0,0.7,0.8,.498,.000,.666,8.4,.172,willija01
ORV,G,Allen Iverson,22,PHI,11,580,0.019,0,,,80,39.4,22.0,3.7,6.2,2.2,0.3,.461,.298,.729,9.0,.138,iversal01
ORV,C,Rik Smits,31,IND,11,580,0.019,0,,,73,28.6,16.7,6.9,1.4,0.5,1.2,.495,.000,.783,6.1,.141,smitsri01
ORV,F,Shareef Abdur-Rahim,21,VAN,10,580,0.017,0,,,82,36.0,22.3,7.1,2.6,1.1,0.9,.485,.412,.784,6.9,.113,abdursh01
ORV,G,Stephon Marbury,20,MIN,10,580,0.017,0,,,82,38.0,17.7,2.8,8.6,1.3,0.1,.415,.313,.731,5.3,.082,marbust01
ORV,C,Arvydas Sabonis,33,POR,10,580,0.017,0,,,73,32.0,16.0,10.0,3.0,0.9,1.1,.493,.261,.798,9.7,.200,sabonar01
ORV,F,Keith Van Horn,22,NJN,8,580,0.014,0,,,62,37.5,19.7,6.6,1.7,1.0,0.4,.426,.308,.846,4.8,.098,vanhoke01
ORV,F,Chris Webber,24,WAS,8,580,0.014,0,,,71,39.6,21.9,9.5,3.8,1.6,1.7,.482,.317,.589,8.3,.142,webbech01
ORV,G,Allan Houston,26,NYK,6,580,0.01,0,,,82,34.7,18.4,3.3,2.6,0.8,0.3,.447,.385,.851,6.1,.102,houstal01
ORV,F,Detlef Schrempf,35,SEA,5,580,0.009,0,,,78,35.2,15.8,7.1,4.4,0.8,0.2,.487,.415,.844,10.4,.182,schrede01
ORV,G,Damon Stoudamire,24,TOT,5,580,0.009,0,,,71,40.0,17.3,4.2,8.2,1.6,0.1,.411,.299,.829,4.7,.079,stoudda01
ORV,G,Mookie Blaylock,30,ATL,4,580,0.007,0,,,70,38.6,13.2,4.9,6.7,2.6,0.3,.392,.269,.709,5.6,.099,blaylmo01
ORV,G,Nick Anderson,30,ORL,3,580,0.005,0,,,58,29.3,15.3,5.1,2.1,1.2,0.4,.455,.360,.638,5.3,.149,anderni01
ORV,F,Anthony Mason,31,CHH,3,580,0.005,0,,,81,38.9,12.8,10.2,4.2,0.8,0.2,.509,.000,.649,9.3,.141,masonan01
ORV,F,Bo Outlaw,26,ORL,3,580,0.005,0,,,82,36.0,9.5,7.8,2.6,1.3,2.2,.554,.250,.575,7.6,.124,outlabo01
ORV,F,Antonio McDyess,23,PHO,2,580,0.003,0,0,2,81,30.1,15.1,7.6,1.3,1.2,1.7,.536,.000,.702,9.4,.185,mcdyean01
ORV,G,Ray Allen,22,MIL,1,580,0.002,0,0,1,82,40.1,19.5,4.9,4.3,1.4,0.1,.428,.364,.875,7.0,.102,allenra02
ORV,F,Charles Barkley,34,HOU,1,580,0.002,0,0,1,68,33.0,15.2,11.7,3.2,1.0,0.4,.485,.214,.746,8.6,.183,barklch01
ORV,G,Kobe Bryant,19,LAL,1,580,0.002,0,0,1,79,26.0,15.4,3.1,2.5,0.9,0.5,.428,.341,.794,6.3,.147,bryanko01
ORV,G,Sam Cassell,28,NJN,1,580,0.002,0,0,1,75,34.7,19.6,3.0,8.0,1.6,0.3,.441,.188,.860,8.3,.152,cassesa01
ORV,G,Rex Chapman,30,PHO,1,580,0.002,0,0,1,68,33.3,15.9,2.5,3.0,1.0,0.2,.427,.386,.781,4.5,.095,chapmre01
ORV,C,Bison Dele,28,DET,1,580,0.002,0,0,1,78,33.6,16.2,8.9,1.2,0.9,0.7,.511,.333,.707,6.9,.126,delebi01
ORV,G,Jeff Hornacek,34,UTA,1,580,0.002,0,0,1,80,30.8,14.2,3.4,4.4,1.4,0.2,.482,.441,.885,9.5,.186,hornaje01
ORV,F,Juwan Howard,24,WAS,1,580,0.002,0,0,1,64,40.0,18.5,7.0,3.3,1.3,0.4,.467,.000,.721,4.6,.086,howarju01
ORV,G,Brevin Knight,22,CLE,1,580,0.002,0,0,1,80,31.0,9.0,3.2,8.2,2.5,0.2,.441,.000,.801,8.4,.163,knighbr01
