,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_offset8[3],0.125,1.014,-1.731,2.017,0.019,0.018,2823.0,2285.0,1.0
b_offset8[4],-0.293,1.002,-2.115,1.639,0.021,0.016,2260.0,2288.0,1.0
b_offset8[5],-0.163,0.953,-1.975,1.608,0.019,0.016,2476.0,2471.0,1.0
b_offset8[6],0.173,0.975,-1.612,1.993,0.019,0.015,2517.0,2730.0,1.0
b_offset8[7],-0.031,0.997,-1.844,1.88,0.019,0.015,2728.0,2673.0,1.0
b_offset8[8],0.032,0.961,-1.778,1.836,0.02,0.015,2362.0,2747.0,1.0
b_offset8[9],-0.186,0.97,-2.005,1.606,0.02,0.015,2317.0,1924.0,1.0
b_offset8[10],0.27,0.999,-1.771,1.973,0.025,0.018,1638.0,2206.0,1.0
b_offset8[11],-0.103,1.004,-1.958,1.76,0.021,0.018,2313.0,2351.0,1.0
b_offset8[12],-0.021,0.952,-1.735,1.784,0.019,0.016,2505.0,2604.0,1.0
b_offset8[13],0.127,1.006,-1.724,1.983,0.021,0.016,2332.0,2483.0,1.0
b_offset8[14],0.013,0.965,-1.855,1.753,0.019,0.015,2551.0,2578.0,1.0
b_offset8[15],-0.019,0.95,-1.85,1.759,0.021,0.015,2082.0,2539.0,1.0
b_offset8[16],0.049,0.967,-1.802,1.846,0.02,0.017,2316.0,1649.0,1.0
b_offset8[17],-0.106,1.001,-1.957,1.777,0.022,0.016,2077.0,2284.0,1.0
b_offset8[18],0.019,0.964,-1.872,1.747,0.019,0.016,2588.0,1923.0,1.0
b_offset8[19],0.137,0.988,-1.705,1.979,0.019,0.014,2810.0,2676.0,1.0
b_offset8[20],0.104,0.965,-1.735,1.832,0.02,0.016,2446.0,2747.0,1.0
b_offset8[21],-0.172,0.977,-1.908,1.709,0.02,0.015,2299.0,2583.0,1.0
b_offset8[22],-0.132,0.946,-1.939,1.643,0.019,0.015,2383.0,2368.0,1.0
b_offset8[23],0.054,0.99,-1.842,1.858,0.021,0.017,2262.0,1976.0,1.0
b_offset8[24],0.203,0.995,-1.707,2.026,0.021,0.016,2226.0,2371.0,1.0
b_offset8[25],-0.003,0.969,-1.688,1.873,0.018,0.015,2793.0,2673.0,1.0
b_offset8[26],0.163,0.985,-1.693,1.969,0.02,0.017,2443.0,2140.0,1.0
b_offset8[27],0.312,0.987,-1.535,2.131,0.023,0.016,1920.0,2284.0,1.0
b_offset8[28],-0.132,0.998,-1.978,1.761,0.02,0.017,2432.0,2301.0,1.0
b_offset8[29],-0.136,0.964,-1.976,1.663,0.02,0.015,2312.0,2446.0,1.0
b_offset8[30],-0.18,0.969,-2.025,1.597,0.019,0.015,2652.0,2852.0,1.0
b_offset8[31],0.093,0.997,-1.771,2.039,0.021,0.017,2355.0,2064.0,1.0
b_offset8[32],0.016,0.944,-1.666,1.857,0.018,0.015,2849.0,2750.0,1.0
b_offset8[33],-0.002,0.998,-1.902,1.801,0.02,0.016,2426.0,2322.0,1.0
mu_b9,0.061,0.428,-0.756,0.873,0.016,0.011,722.0,1046.0,1.01
b_offset9[0],0.049,0.969,-1.81,1.862,0.019,0.017,2723.0,2734.0,1.0
b_offset9[1],-0.079,0.985,-1.939,1.716,0.023,0.016,1923.0,2618.0,1.0
b_offset9[2],-0.074,0.954,-1.834,1.785,0.021,0.015,2049.0,2178.0,1.0
b_offset9[3],-0.004,0.998,-1.911,1.782,0.025,0.018,1608.0,2232.0,1.0
b_offset9[4],-0.304,0.99,-2.064,1.61,0.02,0.015,2557.0,2657.0,1.0
b_offset9[5],-0.142,0.982,-1.951,1.748,0.022,0.015,2056.0,2567.0,1.0
b_offset9[6],0.254,0.987,-1.552,2.134,0.021,0.016,2245.0,2366.0,1.0
b_offset9[7],-0.01,1.014,-1.857,2.0,0.021,0.016,2367.0,2551.0,1.0
b_offset9[8],0.011,0.987,-1.755,1.911,0.021,0.016,2317.0,2662.0,1.0
b_offset9[9],-0.208,0.987,-2.1,1.613,0.019,0.015,2824.0,2854.0,1.0
b_offset9[10],0.092,0.988,-1.752,2.007,0.02,0.016,2493.0,2566.0,1.0
b_offset9[11],-0.078,0.995,-1.936,1.741,0.021,0.016,2322.0,2364.0,1.0
b_offset9[12],0.004,0.964,-1.792,1.785,0.021,0.015,2058.0,2371.0,1.0
b_offset9[13],0.146,0.969,-1.748,1.896,0.019,0.016,2515.0,2600.0,1.0
b_offset9[14],-0.006,0.997,-2.03,1.75,0.022,0.016,2124.0,1986.0,1.0
b_offset9[15],0.026,0.981,-1.772,1.933,0.02,0.016,2481.0,2132.0,1.0
b_offset9[16],0.088,0.977,-1.699,1.87,0.018,0.015,2933.0,3018.0,1.0
b_offset9[17],-0.002,1.011,-1.916,1.886,0.021,0.02,2400.0,1748.0,1.01
b_offset9[18],0.016,0.966,-1.762,1.771,0.02,0.015,2301.0,2470.0,1.0
b_offset9[19],0.113,0.968,-1.676,1.934,0.02,0.015,2340.0,2379.0,1.0
b_offset9[20],0.097,0.929,-1.606,1.841,0.02,0.016,2193.0,2424.0,1.0
b_offset9[21],-0.141,0.947,-1.87,1.653,0.02,0.015,2215.0,2368.0,1.0
b_offset9[22],-0.087,0.944,-1.779,1.649,0.02,0.015,2233.0,1983.0,1.0
b_offset9[23],0.101,0.953,-1.735,1.832,0.019,0.016,2546.0,2061.0,1.0
b_offset9[24],0.196,0.983,-1.643,2.022,0.019,0.014,2757.0,2801.0,1.0
b_offset9[25],-0.128,0.951,-1.905,1.588,0.022,0.016,1836.0,2581.0,1.0
b_offset9[26],0.206,0.988,-1.696,1.996,0.024,0.017,1746.0,2075.0,1.0
b_offset9[27],0.308,0.961,-1.634,1.961,0.022,0.016,1864.0,2474.0,1.0
b_offset9[28],-0.08,0.973,-1.824,1.768,0.02,0.015,2327.0,2429.0,1.0
b_offset9[29],-0.165,0.949,-1.906,1.636,0.019,0.015,2419.0,2436.0,1.0
b_offset9[30],-0.229,0.961,-2.031,1.564,0.021,0.015,2098.0,2390.0,1.0
b_offset9[31],0.037,0.951,-1.681,1.838,0.018,0.015,2951.0,2620.0,1.0
b_offset9[32],-0.027,0.988,-1.853,1.8,0.019,0.015,2756.0,2544.0,1.0
b_offset9[33],-0.05,0.985,-1.848,1.817,0.019,0.015,2733.0,2869.0,1.0
mu_b10,0.022,0.016,-0.009,0.05,0.002,0.001,91.0,880.0,1.04
b_offset10[0],-0.097,0.971,-2.006,1.692,0.02,0.015,2395.0,2632.0,1.0
b_offset10[1],-0.031,0.968,-1.901,1.706,0.019,0.016,2513.0,2450.0,1.0
b_offset10[2],-0.0,0.981,-1.837,1.842,0.02,0.018,2508.0,1784.0,1.0
b_offset10[3],0.267,0.989,-1.651,2.117,0.024,0.017,1763.0,2451.0,1.0
b_offset10[4],0.348,0.991,-1.563,2.126,0.023,0.016,1895.0,2335.0,1.0
b_offset10[5],0.167,0.963,-1.682,1.888,0.021,0.015,2068.0,2318.0,1.0
b_offset10[6],-0.213,0.969,-1.96,1.625,0.021,0.015,2130.0,2600.0,1.0
b_offset10[7],-0.128,0.962,-1.922,1.659,0.019,0.015,2497.0,2195.0,1.0
b_offset10[8],-0.07,0.983,-1.857,1.781,0.02,0.017,2319.0,2388.0,1.0
b_offset10[9],-0.082,0.942,-1.861,1.721,0.021,0.015,2063.0,2392.0,1.0
b_offset10[10],0.233,0.96,-1.502,2.118,0.018,0.015,2944.0,2757.0,1.0
b_offset10[11],0.015,0.939,-1.743,1.709,0.022,0.017,1911.0,1925.0,1.0
b_offset10[12],-0.159,0.97,-1.99,1.584,0.022,0.015,1999.0,2218.0,1.0
b_offset10[13],-0.05,0.947,-1.81,1.706,0.02,0.016,2143.0,2314.0,1.0
b_offset10[14],0.041,0.979,-1.758,1.907,0.022,0.016,1981.0,2368.0,1.0
b_offset10[15],-0.04,0.96,-1.814,1.732,0.019,0.015,2661.0,2795.0,1.0
b_offset10[16],-0.063,0.983,-1.925,1.826,0.02,0.016,2356.0,2469.0,1.0
b_offset10[17],-0.298,0.998,-2.196,1.531,0.022,0.016,2018.0,2361.0,1.0
b_offset10[18],-0.089,0.961,-1.853,1.715,0.021,0.015,2170.0,2120.0,1.0
b_offset10[19],0.128,0.981,-1.774,1.89,0.02,0.017,2525.0,2094.0,1.0
b_offset10[20],-0.086,0.942,-1.78,1.759,0.02,0.015,2213.0,2481.0,1.0
b_offset10[21],0.149,0.967,-1.762,1.909,0.021,0.015,2182.0,2317.0,1.0
b_offset10[22],-0.009,0.961,-1.885,1.741,0.02,0.015,2297.0,2479.0,1.0
b_offset10[23],0.097,0.946,-1.616,1.914,0.02,0.016,2265.0,2356.0,1.0
b_offset10[24],-0.137,0.979,-1.957,1.674,0.019,0.016,2603.0,2243.0,1.0
b_offset10[25],0.248,0.95,-1.422,2.109,0.025,0.017,1489.0,2091.0,1.0
b_offset10[26],-0.225,0.982,-1.981,1.751,0.019,0.016,2712.0,2128.0,1.0
b_offset10[27],-0.278,1.004,-2.066,1.733,0.021,0.016,2270.0,2166.0,1.0
b_offset10[28],-0.159,0.95,-2.0,1.547,0.019,0.017,2443.0,2221.0,1.0
b_offset10[29],-0.167,0.979,-2.004,1.663,0.02,0.015,2358.0,2585.0,1.0
b_offset10[30],0.328,0.994,-1.669,2.048,0.022,0.018,2063.0,1998.0,1.0
b_offset10[31],0.013,0.928,-1.686,1.792,0.019,0.015,2423.0,2305.0,1.0
b_offset10[32],-0.049,0.984,-1.893,1.781,0.019,0.017,2587.0,2487.0,1.0
b_offset10[33],0.201,1.005,-1.756,2.063,0.02,0.015,2563.0,2531.0,1.0
mu_b11,-0.102,0.229,-0.509,0.336,0.012,0.009,363.0,1542.0,1.02
