,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_b2,0.554,1.262,0.0,2.623,0.065,0.046,280.0,537.0,1.05
sigma_b3,1.733,2.199,0.003,6.059,0.117,0.084,403.0,505.0,1.01
sigma_b4,4.008,2.905,0.02,9.117,0.091,0.064,858.0,1046.0,1.0
sigma_b5,3.386,2.61,0.007,8.18,0.099,0.071,603.0,524.0,1.0
sigma_b6,4.211,2.542,0.701,9.166,0.071,0.05,1152.0,1836.0,1.0
sigma_b7,1.56,1.949,0.004,5.345,0.071,0.05,624.0,979.0,1.0
sigma_b8,1.511,2.055,0.003,5.626,0.108,0.077,363.0,826.0,1.01
sigma_b9,1.851,2.112,0.002,5.799,0.112,0.079,416.0,468.0,1.01
sigma_b10,1.031,1.689,0.003,4.199,0.065,0.046,498.0,1159.0,1.01
sigma_b11,1.827,2.071,0.002,5.753,0.092,0.065,437.0,706.0,1.02
sigma_b12,1.599,1.962,0.005,5.468,0.086,0.061,623.0,747.0,1.0
sigma_b13,1.392,2.112,0.002,5.645,0.256,0.193,176.0,77.0,1.03
sigma_b14,1.22,1.893,0.001,4.999,0.093,0.066,383.0,888.0,1.01
sigma_b15,2.002,2.221,0.009,6.299,0.071,0.05,805.0,1495.0,1.0
sigma_b16,2.171,2.238,0.007,6.369,0.074,0.052,881.0,1587.0,1.01
sigma_b17,1.952,2.13,0.007,5.92,0.079,0.059,730.0,1124.0,1.0
sigma_b18,3.477,2.702,0.023,8.453,0.081,0.057,790.0,684.0,1.01
sigma_b19,2.351,2.297,0.007,6.74,0.068,0.048,901.0,890.0,1.0
sigma_b20,2.239,2.281,0.009,6.472,0.082,0.058,739.0,1188.0,1.0
sigma_b21,2.28,2.269,0.01,6.594,0.073,0.052,769.0,1040.0,1.01
sigma_b22,1.662,2.029,0.003,5.559,0.085,0.06,427.0,874.0,1.02
