,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b18[F],4.815,6.53,-7.425,16.996,0.359,0.254,332.0,910.0,1.02
mu_b19,-3.265,1.852,-6.897,0.042,0.11,0.078,276.0,456.0,1.01
b19[C],-3.369,1.707,-6.779,-0.219,0.108,0.076,249.0,435.0,1.01
b19[G],-3.296,1.7,-6.866,-0.336,0.109,0.077,246.0,407.0,1.01
b19[F],-3.238,1.718,-6.277,0.276,0.109,0.077,251.0,419.0,1.01
mu_b20,-3.982,1.84,-7.396,-0.509,0.111,0.079,270.0,453.0,1.01
b20[C],-3.974,1.701,-7.297,-0.849,0.108,0.076,251.0,408.0,1.01
b20[G],-3.953,1.699,-7.388,-0.862,0.109,0.077,244.0,388.0,1.01
b20[F],-3.993,1.713,-7.443,-0.928,0.108,0.077,251.0,396.0,1.01
mu_b21,3.375,1.804,0.256,7.122,0.109,0.077,270.0,419.0,1.01
b21[C],3.324,1.695,0.386,6.848,0.108,0.076,248.0,434.0,1.01
b21[G],3.355,1.699,0.283,6.799,0.108,0.077,246.0,409.0,1.01
b21[F],3.42,1.714,0.185,6.742,0.109,0.077,250.0,415.0,1.01
mu_b22,-0.021,0.722,-1.26,1.379,0.03,0.022,824.0,681.0,1.01
b22[C],-0.01,0.278,-0.578,0.49,0.008,0.005,1300.0,1686.0,1.01
b22[G],0.173,0.256,-0.274,0.695,0.009,0.006,858.0,1842.0,1.01
b22[F],-0.249,0.259,-0.736,0.219,0.008,0.006,958.0,1740.0,1.0
sigma_a,2.538,2.093,0.013,6.295,0.072,0.051,682.0,795.0,1.01
sigma_b0,0.217,0.419,0.0,0.756,0.026,0.018,319.0,283.0,1.01
sigma_b1,0.055,0.144,0.0,0.17,0.006,0.004,422.0,717.0,1.0
sigma_b2,0.003,0.016,0.0,0.008,0.001,0.001,210.0,129.0,1.02
sigma_b3,0.362,0.617,0.001,1.167,0.032,0.023,330.0,609.0,1.02
sigma_b4,3.187,2.507,0.012,7.724,0.09,0.063,556.0,566.0,1.0
sigma_b5,2.303,1.939,0.008,5.875,0.073,0.052,484.0,330.0,1.01
sigma_b6,3.29,1.973,0.381,7.017,0.058,0.041,920.0,951.0,1.0
sigma_b7,0.282,0.497,0.001,0.842,0.022,0.016,603.0,586.0,1.01
sigma_b8,0.191,0.394,0.001,0.654,0.016,0.011,509.0,711.0,1.0
sigma_b9,0.342,0.595,0.001,1.206,0.022,0.015,508.0,1043.0,1.02
sigma_b10,0.147,0.346,0.0,0.444,0.016,0.011,579.0,683.0,1.01
sigma_b11,0.623,0.97,0.001,2.192,0.08,0.057,168.0,285.0,1.02
sigma_b12,0.466,0.724,0.001,1.548,0.029,0.02,482.0,552.0,1.0
sigma_b13,0.313,0.452,0.001,0.98,0.016,0.011,509.0,338.0,1.01
sigma_b14,0.416,0.666,0.002,1.433,0.041,0.029,354.0,347.0,1.01
sigma_b15,0.604,1.033,0.005,2.267,0.045,0.032,574.0,799.0,1.01
sigma_b16,0.704,1.045,0.004,2.58,0.043,0.03,483.0,924.0,1.02
sigma_b17,0.643,1.066,0.005,2.299,0.043,0.031,495.0,989.0,1.01
sigma_b18,3.341,2.626,0.022,8.219,0.099,0.07,576.0,530.0,1.01
sigma_b19,0.672,1.09,0.006,2.421,0.043,0.03,507.0,1159.0,1.0
sigma_b20,0.66,1.057,0.006,2.3,0.035,0.025,583.0,1167.0,1.0
sigma_b21,0.588,0.969,0.005,2.091,0.048,0.034,464.0,649.0,1.01
sigma_b22,0.83,1.077,0.002,2.633,0.042,0.029,448.0,398.0,1.01
