,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b7[1993-1994],-0.304,0.152,-0.566,-0.021,0.062,0.046,6.0,24.0,1.74
b7[1994-1995],-0.263,0.153,-0.534,0.022,0.059,0.043,7.0,22.0,1.59
b7[1995-1996],-0.297,0.153,-0.563,-0.019,0.063,0.047,6.0,25.0,1.75
b7[1996-1997],-0.295,0.153,-0.574,-0.027,0.062,0.047,6.0,22.0,1.73
b7[1997-1998],-0.305,0.154,-0.567,-0.02,0.064,0.048,6.0,24.0,1.76
b7[1998-1999],-0.308,0.152,-0.562,-0.018,0.064,0.048,6.0,21.0,1.83
b7[1999-2000],-0.306,0.155,-0.571,-0.02,0.063,0.047,6.0,27.0,1.73
b7[2000-2001],-0.291,0.152,-0.557,-0.009,0.062,0.046,6.0,21.0,1.72
b7[2001-2002],-0.294,0.153,-0.566,-0.02,0.062,0.046,6.0,22.0,1.71
b7[2002-2003],-0.3,0.155,-0.574,-0.023,0.064,0.047,6.0,26.0,1.73
b7[2003-2004],-0.298,0.153,-0.566,-0.022,0.063,0.047,6.0,24.0,1.75
b7[2004-2005],-0.289,0.154,-0.567,-0.019,0.063,0.047,6.0,22.0,1.73
b7[2005-2006],-0.278,0.153,-0.558,-0.011,0.06,0.045,7.0,22.0,1.64
b7[2006-2007],-0.295,0.153,-0.565,-0.019,0.063,0.047,6.0,24.0,1.75
b7[2007-2008],-0.299,0.155,-0.575,-0.015,0.064,0.047,6.0,24.0,1.74
b7[2008-2009],-0.294,0.153,-0.569,-0.02,0.064,0.048,6.0,22.0,1.8
b7[2009-2010],-0.3,0.153,-0.571,-0.028,0.063,0.047,6.0,24.0,1.75
b7[2010-2011],-0.291,0.151,-0.565,-0.026,0.061,0.046,6.0,22.0,1.73
b7[2011-2012],-0.28,0.151,-0.557,-0.009,0.06,0.045,6.0,23.0,1.66
b7[2012-2013],-0.292,0.154,-0.567,-0.016,0.063,0.047,6.0,22.0,1.74
b7[2013-2014],-0.32,0.163,-0.601,-0.024,0.069,0.051,6.0,23.0,1.85
b7[2014-2015],-0.284,0.153,-0.566,-0.015,0.062,0.046,6.0,20.0,1.7
b7[2015-2016],-0.279,0.152,-0.542,0.008,0.061,0.046,6.0,22.0,1.71
b7[2016-2017],-0.301,0.156,-0.576,-0.021,0.064,0.048,6.0,26.0,1.76
b7[2017-2018],-0.309,0.156,-0.581,-0.024,0.065,0.048,6.0,26.0,1.77
b7[2018-2019],-0.328,0.164,-0.591,-0.016,0.067,0.05,6.0,23.0,1.77
b7[2019-2020],-0.303,0.156,-0.565,-0.006,0.065,0.049,6.0,23.0,1.83
b7[2020-2021],-0.3,0.154,-0.572,-0.021,0.064,0.047,6.0,24.0,1.75
b7[2021-2022],-0.305,0.155,-0.574,-0.021,0.064,0.048,6.0,22.0,1.76
