,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b13[1989-1990],0.111,0.042,0.037,0.194,0.01,0.008,18.0,81.0,1.16
b13[1990-1991],0.112,0.041,0.038,0.194,0.01,0.008,17.0,60.0,1.17
b13[1991-1992],0.116,0.041,0.044,0.198,0.01,0.007,17.0,88.0,1.17
b13[1992-1993],0.115,0.04,0.043,0.193,0.01,0.008,15.0,56.0,1.19
b13[1993-1994],0.114,0.041,0.042,0.195,0.01,0.008,18.0,98.0,1.16
b13[1994-1995],0.116,0.041,0.047,0.206,0.01,0.008,16.0,73.0,1.18
b13[1995-1996],0.113,0.041,0.043,0.196,0.01,0.008,17.0,75.0,1.17
b13[1996-1997],0.11,0.041,0.035,0.189,0.01,0.008,17.0,54.0,1.17
b13[1997-1998],0.11,0.042,0.037,0.197,0.01,0.008,18.0,61.0,1.17
b13[1998-1999],0.113,0.04,0.04,0.196,0.01,0.008,16.0,55.0,1.18
b13[1999-2000],0.11,0.042,0.036,0.193,0.01,0.008,18.0,67.0,1.16
b13[2000-2001],0.11,0.041,0.037,0.192,0.01,0.008,17.0,54.0,1.17
b13[2001-2002],0.114,0.042,0.036,0.193,0.01,0.008,18.0,75.0,1.17
b13[2002-2003],0.112,0.042,0.039,0.197,0.01,0.008,17.0,72.0,1.17
b13[2003-2004],0.108,0.042,0.03,0.191,0.009,0.008,19.0,55.0,1.16
b13[2004-2005],0.11,0.04,0.034,0.187,0.01,0.008,17.0,52.0,1.17
b13[2005-2006],0.111,0.041,0.037,0.192,0.01,0.008,17.0,62.0,1.17
b13[2006-2007],0.113,0.041,0.036,0.19,0.01,0.008,17.0,63.0,1.18
b13[2007-2008],0.115,0.04,0.045,0.199,0.01,0.008,16.0,63.0,1.18
b13[2008-2009],0.113,0.04,0.04,0.193,0.01,0.008,17.0,82.0,1.17
b13[2009-2010],0.112,0.04,0.037,0.192,0.01,0.007,17.0,66.0,1.17
b13[2010-2011],0.11,0.042,0.036,0.193,0.01,0.008,18.0,56.0,1.16
b13[2011-2012],0.118,0.04,0.043,0.197,0.01,0.008,15.0,113.0,1.19
b13[2012-2013],0.112,0.04,0.037,0.189,0.01,0.008,16.0,63.0,1.18
b13[2013-2014],0.117,0.041,0.048,0.203,0.01,0.008,16.0,73.0,1.18
b13[2014-2015],0.112,0.042,0.037,0.194,0.01,0.008,17.0,69.0,1.17
b13[2015-2016],0.112,0.041,0.036,0.192,0.01,0.008,17.0,86.0,1.17
b13[2016-2017],0.114,0.041,0.042,0.197,0.01,0.008,17.0,69.0,1.16
b13[2017-2018],0.109,0.041,0.035,0.189,0.01,0.008,17.0,51.0,1.17
b13[2018-2019],0.115,0.041,0.037,0.195,0.01,0.008,17.0,62.0,1.17
b13[2019-2020],0.114,0.041,0.042,0.197,0.01,0.008,16.0,76.0,1.18
b13[2020-2021],0.112,0.04,0.038,0.193,0.009,0.007,18.0,100.0,1.16
b13[2021-2022],0.111,0.042,0.037,0.193,0.01,0.008,17.0,58.0,1.17
mu_b14,0.171,0.045,0.104,0.257,0.017,0.013,7.0,19.0,1.55
b14[1988-1989],0.172,0.047,0.094,0.258,0.017,0.013,8.0,31.0,1.47
b14[1989-1990],0.17,0.047,0.096,0.259,0.017,0.013,8.0,24.0,1.48
b14[1990-1991],0.175,0.047,0.098,0.261,0.017,0.013,8.0,36.0,1.47
b14[1991-1992],0.171,0.047,0.095,0.258,0.017,0.013,8.0,26.0,1.46
b14[1992-1993],0.174,0.047,0.098,0.263,0.017,0.013,8.0,30.0,1.47
b14[1993-1994],0.174,0.047,0.095,0.259,0.017,0.012,8.0,35.0,1.45
b14[1994-1995],0.168,0.047,0.093,0.257,0.017,0.013,8.0,24.0,1.49
b14[1995-1996],0.173,0.047,0.098,0.259,0.017,0.012,8.0,29.0,1.45
b14[1996-1997],0.172,0.047,0.097,0.26,0.017,0.012,8.0,26.0,1.45
b14[1997-1998],0.172,0.047,0.094,0.259,0.017,0.013,8.0,26.0,1.45
b14[1998-1999],0.173,0.047,0.098,0.261,0.017,0.013,8.0,26.0,1.47
b14[1999-2000],0.172,0.047,0.092,0.258,0.017,0.013,8.0,37.0,1.47
b14[2000-2001],0.165,0.048,0.08,0.249,0.017,0.013,8.0,24.0,1.45
b14[2001-2002],0.168,0.048,0.092,0.259,0.017,0.013,8.0,32.0,1.46
b14[2002-2003],0.169,0.047,0.091,0.254,0.017,0.013,8.0,25.0,1.45
b14[2003-2004],0.172,0.047,0.1,0.262,0.017,0.013,8.0,30.0,1.47
b14[2004-2005],0.166,0.048,0.093,0.257,0.017,0.013,8.0,29.0,1.45
b14[2005-2006],0.166,0.048,0.088,0.254,0.017,0.013,8.0,22.0,1.46
b14[2006-2007],0.171,0.047,0.096,0.258,0.017,0.013,8.0,24.0,1.46
b14[2007-2008],0.171,0.047,0.096,0.259,0.017,0.013,8.0,32.0,1.44
b14[2008-2009],0.172,0.047,0.092,0.259,0.017,0.013,8.0,28.0,1.46
b14[2009-2010],0.175,0.047,0.097,0.262,0.017,0.013,8.0,37.0,1.45
b14[2010-2011],0.17,0.047,0.091,0.258,0.017,0.013,8.0,27.0,1.48
b14[2011-2012],0.171,0.047,0.095,0.261,0.018,0.013,8.0,28.0,1.49
b14[2012-2013],0.169,0.047,0.094,0.257,0.017,0.013,8.0,25.0,1.47
b14[2013-2014],0.17,0.047,0.096,0.262,0.017,0.013,8.0,26.0,1.48
b14[2014-2015],0.172,0.047,0.094,0.261,0.017,0.013,8.0,29.0,1.45
b14[2015-2016],0.17,0.048,0.092,0.257,0.017,0.013,8.0,28.0,1.45
b14[2016-2017],0.163,0.049,0.086,0.255,0.018,0.013,8.0,25.0,1.46
b14[2017-2018],0.173,0.047,0.094,0.257,0.017,0.013,8.0,28.0,1.47
b14[2018-2019],0.172,0.047,0.094,0.259,0.017,0.013,8.0,31.0,1.47
b14[2019-2020],0.171,0.047,0.098,0.263,0.017,0.013,8.0,28.0,1.46
b14[2020-2021],0.172,0.047,0.094,0.257,0.017,0.013,8.0,30.0,1.48
b14[2021-2022],0.172,0.047,0.096,0.259,0.018,0.013,8.0,26.0,1.5
mu_b15,-1.438,0.894,-3.822,0.004,0.173,0.157,16.0,37.0,1.56
b15[1988-1989],-1.433,0.897,-3.772,0.065,0.172,0.156,17.0,36.0,1.53
b15[1989-1990],-1.435,0.896,-3.77,0.043,0.171,0.156,17.0,36.0,1.54
b15[1990-1991],-1.445,0.896,-3.75,0.082,0.173,0.157,17.0,34.0,1.53
b15[1991-1992],-1.43,0.895,-3.852,-0.024,0.173,0.157,16.0,37.0,1.55
b15[1992-1993],-1.426,0.894,-3.792,0.019,0.174,0.157,16.0,35.0,1.54
b15[1993-1994],-1.424,0.895,-3.735,0.081,0.172,0.156,17.0,35.0,1.55
b15[1994-1995],-1.422,0.895,-3.821,0.004,0.172,0.157,17.0,36.0,1.54
b15[1995-1996],-1.431,0.895,-3.926,-0.079,0.172,0.156,16.0,35.0,1.54
b15[1996-1997],-1.439,0.895,-3.715,0.109,0.173,0.156,16.0,37.0,1.54
b15[1997-1998],-1.421,0.896,-3.784,0.047,0.173,0.156,17.0,35.0,1.54
b15[1998-1999],-1.422,0.898,-3.756,0.119,0.172,0.156,17.0,35.0,1.54
b15[1999-2000],-1.452,0.899,-3.831,0.052,0.173,0.156,16.0,35.0,1.53
b15[2000-2001],-1.445,0.896,-3.917,-0.057,0.173,0.157,16.0,36.0,1.53
b15[2001-2002],-1.456,0.898,-3.569,0.278,0.174,0.157,16.0,37.0,1.55
b15[2002-2003],-1.46,0.897,-3.714,0.108,0.174,0.157,16.0,36.0,1.54
b15[2003-2004],-1.442,0.895,-3.783,0.027,0.173,0.158,16.0,35.0,1.54
b15[2004-2005],-1.441,0.896,-3.753,0.061,0.172,0.158,16.0,35.0,1.53
b15[2005-2006],-1.462,0.897,-3.624,0.202,0.174,0.157,16.0,36.0,1.53
b15[2006-2007],-1.44,0.896,-3.743,0.066,0.173,0.156,17.0,35.0,1.55
b15[2007-2008],-1.458,0.897,-3.82,0.015,0.174,0.158,16.0,36.0,1.54
b15[2008-2009],-1.441,0.896,-3.803,0.036,0.173,0.157,16.0,37.0,1.54
b15[2009-2010],-1.428,0.898,-3.773,0.05,0.173,0.157,16.0,35.0,1.54
b15[2010-2011],-1.433,0.898,-3.923,-0.075,0.172,0.157,17.0,37.0,1.54
b15[2011-2012],-1.419,0.899,-3.811,0.009,0.173,0.156,17.0,36.0,1.53
b15[2012-2013],-1.449,0.898,-3.627,0.193,0.174,0.157,16.0,35.0,1.53
b15[2013-2014],-1.44,0.898,-3.786,-0.004,0.175,0.158,16.0,36.0,1.54
b15[2014-2015],-1.426,0.898,-3.744,0.067,0.173,0.158,17.0,37.0,1.52
b15[2015-2016],-1.461,0.898,-3.687,0.137,0.176,0.159,16.0,36.0,1.54
b15[2016-2017],-1.457,0.899,-3.988,-0.147,0.175,0.158,16.0,36.0,1.55
b15[2017-2018],-1.433,0.896,-3.715,0.111,0.173,0.157,17.0,35.0,1.54
b15[2018-2019],-1.43,0.895,-3.802,0.04,0.171,0.156,17.0,36.0,1.55
b15[2019-2020],-1.438,0.897,-3.763,0.057,0.173,0.157,17.0,37.0,1.54
b15[2020-2021],-1.431,0.895,-3.823,-0.026,0.174,0.157,16.0,37.0,1.54
b15[2021-2022],-1.422,0.897,-3.829,-0.017,0.173,0.156,17.0,35.0,1.55
mu_b16,-0.64,0.895,-2.823,0.972,0.147,0.169,19.0,37.0,1.38
b16[1988-1989],-0.665,0.905,-2.809,0.943,0.149,0.168,19.0,36.0,1.31
b16[1989-1990],-0.645,0.909,-2.686,1.151,0.148,0.167,19.0,36.0,1.31
b16[1990-1991],-0.63,0.907,-2.8,0.958,0.147,0.168,20.0,35.0,1.29
b16[1991-1992],-0.683,0.908,-2.94,0.895,0.151,0.168,19.0,36.0,1.34
b16[1992-1993],-0.71,0.908,-2.861,0.946,0.145,0.165,20.0,35.0,1.31
b16[1993-1994],-0.823,0.913,-2.955,0.819,0.164,0.166,18.0,33.0,1.32
b16[1994-1995],-0.717,0.908,-3.05,0.825,0.15,0.167,19.0,35.0,1.33
b16[1995-1996],-0.721,0.906,-2.866,0.908,0.151,0.164,19.0,35.0,1.32
b16[1996-1997],-0.789,0.908,-3.263,0.535,0.157,0.168,18.0,35.0,1.33
b16[1997-1998],-0.676,0.898,-2.855,0.844,0.152,0.166,19.0,35.0,1.34
b16[1998-1999],-0.576,0.908,-2.738,1.065,0.146,0.171,19.0,36.0,1.28
b16[1999-2000],-0.604,0.907,-2.842,0.996,0.147,0.171,19.0,35.0,1.31
b16[2000-2001],-0.7,0.901,-2.808,0.967,0.15,0.166,19.0,36.0,1.34
b16[2001-2002],-0.591,0.907,-2.792,1.019,0.146,0.17,19.0,36.0,1.3
b16[2002-2003],-0.6,0.906,-2.479,1.292,0.147,0.168,19.0,35.0,1.3
b16[2003-2004],-0.651,0.909,-2.764,1.032,0.148,0.169,19.0,35.0,1.34
b16[2004-2005],-0.652,0.912,-2.872,0.942,0.147,0.169,20.0,36.0,1.32
b16[2005-2006],-0.72,0.911,-2.867,0.956,0.148,0.168,19.0,37.0,1.3
b16[2006-2007],-0.704,0.902,-2.908,0.849,0.152,0.166,19.0,37.0,1.32
b16[2007-2008],-0.598,0.916,-2.75,1.06,0.147,0.17,20.0,37.0,1.28
b16[2008-2009],-0.651,0.906,-2.803,0.964,0.148,0.169,19.0,35.0,1.32
b16[2009-2010],-0.691,0.904,-2.821,0.977,0.149,0.168,19.0,34.0,1.32
b16[2010-2011],-0.696,0.909,-2.865,0.931,0.15,0.169,19.0,35.0,1.33
b16[2011-2012],-0.623,0.903,-2.79,1.007,0.145,0.167,20.0,33.0,1.3
b16[2012-2013],-0.553,0.918,-2.65,1.3,0.148,0.174,20.0,35.0,1.29
b16[2013-2014],-0.575,0.904,-2.764,1.054,0.145,0.168,20.0,35.0,1.27
b16[2014-2015],-0.606,0.914,-2.802,1.087,0.147,0.173,19.0,39.0,1.31
b16[2015-2016],-0.538,0.928,-2.693,1.219,0.148,0.174,20.0,36.0,1.27
b16[2016-2017],-0.541,0.92,-2.557,1.212,0.146,0.169,21.0,36.0,1.27
b16[2017-2018],-0.632,0.904,-2.672,1.089,0.146,0.164,19.0,39.0,1.3
b16[2018-2019],-0.631,0.916,-2.733,1.12,0.147,0.175,20.0,35.0,1.3
b16[2019-2020],-0.469,0.938,-2.488,1.408,0.15,0.172,22.0,35.0,1.23
b16[2020-2021],-0.535,0.928,-2.432,1.534,0.149,0.17,20.0,36.0,1.26
b16[2021-2022],-0.575,0.912,-2.494,1.32,0.145,0.171,20.0,37.0,1.28
mu_b17,2.298,0.912,0.884,4.624,0.2,0.157,14.0,34.0,1.51
b17[1988-1989],2.301,0.913,0.815,4.548,0.201,0.158,14.0,34.0,1.5
b17[1989-1990],2.3,0.912,0.896,4.605,0.199,0.157,15.0,35.0,1.5
b17[1990-1991],2.294,0.913,0.931,4.68,0.2,0.157,14.0,34.0,1.5
b17[1991-1992],2.303,0.912,1.155,4.868,0.201,0.158,15.0,35.0,1.51
b17[1992-1993],2.301,0.914,0.858,4.578,0.202,0.159,14.0,34.0,1.49
b17[1993-1994],2.293,0.912,0.899,4.627,0.2,0.158,14.0,35.0,1.5
b17[1994-1995],2.304,0.913,0.888,4.641,0.201,0.158,14.0,35.0,1.51
b17[1995-1996],2.297,0.912,0.866,4.604,0.199,0.157,14.0,34.0,1.51
b17[1996-1997],2.287,0.911,1.084,4.821,0.199,0.157,14.0,34.0,1.51
b17[1997-1998],2.308,0.913,1.151,4.87,0.2,0.158,14.0,34.0,1.5
b17[1998-1999],2.315,0.914,0.909,4.649,0.202,0.158,14.0,36.0,1.5
b17[1999-2000],2.295,0.914,0.858,4.575,0.2,0.158,15.0,34.0,1.5
b17[2000-2001],2.289,0.913,1.034,4.775,0.201,0.158,14.0,33.0,1.51
b17[2001-2002],2.291,0.912,0.862,4.624,0.199,0.156,15.0,34.0,1.5
b17[2002-2003],2.285,0.913,0.836,4.594,0.199,0.157,15.0,34.0,1.5
b17[2003-2004],2.295,0.913,0.865,4.605,0.2,0.158,14.0,34.0,1.51
b17[2004-2005],2.296,0.913,0.863,4.623,0.199,0.157,15.0,34.0,1.49
b17[2005-2006],2.278,0.912,0.88,4.646,0.198,0.156,15.0,34.0,1.5
b17[2006-2007],2.292,0.911,0.835,4.58,0.199,0.157,14.0,35.0,1.5
b17[2007-2008],2.289,0.914,0.861,4.607,0.201,0.158,14.0,35.0,1.5
b17[2008-2009],2.297,0.913,0.85,4.577,0.2,0.157,14.0,34.0,1.51
b17[2009-2010],2.301,0.914,0.854,4.596,0.2,0.158,15.0,33.0,1.5
b17[2010-2011],2.299,0.913,0.964,4.678,0.201,0.157,14.0,33.0,1.51
b17[2011-2012],2.311,0.914,0.841,4.608,0.201,0.158,14.0,34.0,1.5
b17[2012-2013],2.299,0.914,0.869,4.612,0.2,0.158,14.0,34.0,1.5
b17[2013-2014],2.303,0.913,0.866,4.597,0.201,0.158,14.0,35.0,1.5
b17[2014-2015],2.308,0.914,0.866,4.592,0.2,0.157,15.0,34.0,1.5
b17[2015-2016],2.29,0.913,0.873,4.645,0.199,0.157,15.0,35.0,1.5
b17[2016-2017],2.291,0.913,0.941,4.671,0.2,0.157,14.0,34.0,1.51
b17[2017-2018],2.304,0.912,0.895,4.643,0.2,0.158,14.0,34.0,1.51
b17[2018-2019],2.305,0.913,0.963,4.695,0.201,0.158,14.0,34.0,1.51
b17[2019-2020],2.31,0.914,1.074,4.808,0.202,0.158,14.0,34.0,1.5
b17[2020-2021],2.31,0.912,1.159,4.911,0.201,0.158,14.0,34.0,1.51
b17[2021-2022],2.313,0.915,0.952,4.692,0.201,0.158,14.0,35.0,1.5
mu_b18,-2.037,6.875,-12.611,10.54,2.732,2.028,7.0,22.0,1.64
b18[1988-1989],-1.831,7.096,-13.529,10.504,2.751,2.037,7.0,27.0,1.58
b18[1989-1990],-1.963,7.062,-13.211,10.792,2.723,2.016,7.0,32.0,1.57
b18[1990-1991],-2.433,7.01,-13.064,10.97,2.771,2.056,7.0,25.0,1.61
b18[1991-1992],-1.877,7.088,-13.353,10.752,2.766,2.05,7.0,27.0,1.59
b18[1992-1993],-2.101,7.049,-13.032,10.868,2.74,2.03,7.0,27.0,1.57
b18[1993-1994],-2.312,6.833,-13.016,10.435,2.678,1.986,7.0,22.0,1.59
b18[1994-1995],-1.702,7.116,-12.872,11.09,2.722,2.013,7.0,33.0,1.55
b18[1995-1996],-2.094,7.08,-13.273,10.596,2.768,2.052,7.0,25.0,1.6
b18[1996-1997],-2.139,7.129,-12.638,11.399,2.761,2.044,7.0,27.0,1.58
b18[1997-1998],-1.769,7.105,-13.148,11.107,2.727,2.018,7.0,32.0,1.56
b18[1998-1999],-1.645,6.987,-12.835,10.744,2.711,2.008,7.0,27.0,1.58
b18[1999-2000],-2.111,7.057,-13.266,10.656,2.735,2.026,7.0,28.0,1.58
b18[2000-2001],-2.135,7.038,-13.036,10.948,2.744,2.033,7.0,29.0,1.59
b18[2001-2002],-2.031,7.031,-13.011,11.135,2.727,2.02,7.0,26.0,1.58
b18[2002-2003],-2.102,7.055,-13.435,10.473,2.737,2.027,7.0,27.0,1.57
b18[2003-2004],-1.973,7.082,-12.785,11.199,2.737,2.026,7.0,27.0,1.58
b18[2004-2005],-2.347,7.009,-13.542,10.321,2.752,2.041,7.0,23.0,1.6
b18[2005-2006],-1.859,6.987,-12.527,11.323,2.724,2.018,7.0,30.0,1.59
b18[2006-2007],-1.839,7.069,-13.006,11.127,2.739,2.028,7.0,30.0,1.57
b18[2007-2008],-2.062,7.072,-13.498,10.689,2.764,2.048,7.0,28.0,1.59
b18[2008-2009],-1.961,7.095,-12.973,11.023,2.747,2.035,7.0,30.0,1.57
b18[2009-2010],-1.888,7.112,-12.836,11.168,2.771,2.053,7.0,29.0,1.59
b18[2010-2011],-2.077,7.094,-13.209,10.933,2.73,2.02,7.0,28.0,1.57
b18[2011-2012],-1.799,7.09,-12.488,11.64,2.738,2.027,7.0,32.0,1.57
b18[2012-2013],-2.059,7.054,-12.926,11.094,2.722,2.015,7.0,28.0,1.57
b18[2013-2014],-2.512,6.933,-13.524,10.01,2.717,2.014,7.0,25.0,1.59
b18[2014-2015],-1.899,7.091,-13.025,10.958,2.756,2.042,7.0,26.0,1.58
b18[2015-2016],-2.078,7.06,-13.764,10.422,2.748,2.036,7.0,31.0,1.58
b18[2016-2017],-2.2,7.08,-13.253,10.723,2.743,2.031,7.0,26.0,1.57
b18[2017-2018],-1.986,7.048,-12.846,11.276,2.74,2.03,7.0,26.0,1.58
b18[2018-2019],-2.424,7.037,-13.149,10.92,2.773,2.057,7.0,24.0,1.62
b18[2019-2020],-1.847,7.105,-13.121,10.99,2.741,2.03,7.0,33.0,1.57
b18[2020-2021],-1.857,7.088,-13.043,10.825,2.733,2.023,7.0,27.0,1.56
b18[2021-2022],-2.355,6.874,-12.813,10.389,2.701,2.003,7.0,20.0,1.61
mu_b19,-1.564,1.826,-4.381,0.702,0.881,0.671,5.0,26.0,2.54
b19[1988-1989],-1.551,1.827,-4.365,0.733,0.881,0.671,5.0,26.0,2.53
b19[1989-1990],-1.568,1.827,-4.376,0.716,0.882,0.671,5.0,26.0,2.52
b19[1990-1991],-1.576,1.827,-4.398,0.693,0.882,0.672,5.0,26.0,2.53
b19[1991-1992],-1.54,1.825,-4.426,0.697,0.88,0.67,5.0,26.0,2.53
b19[1992-1993],-1.547,1.827,-4.391,0.714,0.881,0.671,5.0,26.0,2.53
b19[1993-1994],-1.551,1.829,-4.39,0.709,0.882,0.672,5.0,26.0,2.53
b19[1994-1995],-1.554,1.828,-4.385,0.705,0.882,0.672,5.0,26.0,2.54
b19[1995-1996],-1.55,1.826,-4.392,0.712,0.881,0.671,5.0,26.0,2.53
b19[1996-1997],-1.553,1.827,-4.372,0.709,0.882,0.672,5.0,26.0,2.52
b19[1997-1998],-1.55,1.827,-4.36,0.737,0.881,0.671,5.0,26.0,2.53
b19[1998-1999],-1.552,1.824,-4.397,0.703,0.88,0.67,5.0,26.0,2.54
b19[1999-2000],-1.561,1.827,-4.396,0.705,0.881,0.671,5.0,26.0,2.53
b19[2000-2001],-1.57,1.827,-4.39,0.697,0.882,0.671,5.0,26.0,2.53
b19[2001-2002],-1.574,1.829,-4.394,0.693,0.882,0.672,5.0,26.0,2.53
b19[2002-2003],-1.567,1.828,-4.378,0.718,0.882,0.672,5.0,26.0,2.53
b19[2003-2004],-1.548,1.828,-4.392,0.693,0.882,0.672,5.0,26.0,2.52
b19[2004-2005],-1.572,1.829,-4.391,0.712,0.882,0.672,5.0,26.0,2.53
b19[2005-2006],-1.571,1.827,-4.393,0.699,0.882,0.672,5.0,26.0,2.54
b19[2006-2007],-1.56,1.826,-4.388,0.7,0.881,0.671,5.0,26.0,2.53
b19[2007-2008],-1.564,1.829,-4.392,0.703,0.882,0.672,5.0,26.0,2.53
b19[2008-2009],-1.571,1.827,-4.39,0.711,0.881,0.671,5.0,26.0,2.53
b19[2009-2010],-1.548,1.827,-4.377,0.696,0.881,0.671,5.0,26.0,2.52
b19[2010-2011],-1.558,1.826,-4.37,0.727,0.881,0.671,5.0,26.0,2.53
b19[2011-2012],-1.553,1.827,-4.391,0.707,0.881,0.671,5.0,26.0,2.53
b19[2012-2013],-1.572,1.828,-4.393,0.699,0.882,0.672,5.0,26.0,2.54
b19[2013-2014],-1.593,1.826,-4.373,0.72,0.881,0.671,5.0,26.0,2.53
b19[2014-2015],-1.563,1.827,-4.376,0.722,0.882,0.671,5.0,26.0,2.54
b19[2015-2016],-1.573,1.828,-4.384,0.724,0.882,0.672,5.0,26.0,2.53
b19[2016-2017],-1.59,1.826,-4.39,0.697,0.881,0.671,5.0,26.0,2.53
b19[2017-2018],-1.589,1.827,-4.393,0.705,0.882,0.672,5.0,26.0,2.54
b19[2018-2019],-1.57,1.826,-4.39,0.698,0.881,0.671,5.0,26.0,2.54
b19[2019-2020],-1.571,1.827,-4.36,0.726,0.882,0.671,5.0,26.0,2.54
b19[2020-2021],-1.567,1.825,-4.399,0.703,0.881,0.671,5.0,26.0,2.54
b19[2021-2022],-1.57,1.829,-4.405,0.705,0.883,0.672,5.0,26.0,2.53
mu_b20,-2.255,1.861,-5.122,0.221,0.897,0.683,5.0,27.0,2.46
b20[1988-1989],-2.258,1.865,-5.177,0.226,0.898,0.684,5.0,27.0,2.45
b20[1989-1990],-2.238,1.862,-5.222,0.218,0.895,0.681,5.0,27.0,2.44
b20[1990-1991],-2.295,1.861,-5.19,0.211,0.896,0.682,5.0,27.0,2.45
b20[1991-1992],-2.297,1.856,-5.148,0.229,0.894,0.681,5.0,27.0,2.45
b20[1992-1993],-2.317,1.863,-5.217,0.182,0.897,0.683,5.0,28.0,2.45
b20[1993-1994],-2.322,1.871,-5.188,0.228,0.901,0.686,5.0,27.0,2.45
b20[1994-1995],-2.304,1.865,-5.154,0.226,0.899,0.684,5.0,27.0,2.45
b20[1995-1996],-2.317,1.862,-5.134,0.256,0.897,0.683,5.0,28.0,2.45
b20[1996-1997],-2.302,1.867,-5.152,0.243,0.899,0.685,5.0,28.0,2.45
b20[1997-1998],-2.293,1.865,-5.167,0.252,0.898,0.684,5.0,27.0,2.45
b20[1998-1999],-2.185,1.869,-5.152,0.324,0.897,0.683,5.0,27.0,2.43
b20[1999-2000],-2.223,1.867,-5.2,0.246,0.897,0.682,5.0,27.0,2.44
b20[2000-2001],-2.217,1.872,-5.198,0.28,0.899,0.684,5.0,27.0,2.44
b20[2001-2002],-2.227,1.871,-5.196,0.255,0.899,0.684,5.0,27.0,2.44
b20[2002-2003],-2.235,1.869,-5.144,0.315,0.899,0.684,5.0,27.0,2.45
b20[2003-2004],-2.244,1.866,-5.181,0.282,0.897,0.682,5.0,27.0,2.45
b20[2004-2005],-2.289,1.865,-5.201,0.208,0.897,0.683,5.0,27.0,2.45
b20[2005-2006],-2.244,1.868,-5.198,0.239,0.898,0.684,5.0,27.0,2.44
b20[2006-2007],-2.263,1.866,-5.18,0.256,0.898,0.684,5.0,27.0,2.45
b20[2007-2008],-2.234,1.868,-5.217,0.254,0.898,0.683,5.0,27.0,2.44
b20[2008-2009],-2.262,1.863,-5.2,0.225,0.896,0.682,5.0,27.0,2.45
b20[2009-2010],-2.284,1.869,-5.134,0.269,0.901,0.686,5.0,28.0,2.45
b20[2010-2011],-2.245,1.865,-5.189,0.241,0.897,0.683,5.0,27.0,2.44
b20[2011-2012],-2.289,1.865,-5.18,0.231,0.898,0.684,5.0,28.0,2.45
b20[2012-2013],-2.19,1.87,-5.193,0.309,0.897,0.683,5.0,27.0,2.43
b20[2013-2014],-2.233,1.867,-5.183,0.286,0.898,0.684,5.0,27.0,2.45
b20[2014-2015],-2.279,1.86,-5.123,0.268,0.896,0.682,5.0,27.0,2.46
b20[2015-2016],-2.271,1.865,-5.188,0.227,0.898,0.684,5.0,27.0,2.45
b20[2016-2017],-2.177,1.873,-5.21,0.297,0.898,0.683,5.0,27.0,2.42
b20[2017-2018],-2.261,1.865,-5.195,0.213,0.898,0.684,5.0,27.0,2.45
b20[2018-2019],-2.266,1.862,-5.122,0.274,0.897,0.683,5.0,27.0,2.45
b20[2019-2020],-2.142,1.871,-5.227,0.29,0.895,0.681,5.0,27.0,2.41
b20[2020-2021],-2.21,1.869,-5.186,0.279,0.898,0.684,5.0,27.0,2.44
b20[2021-2022],-2.269,1.866,-5.192,0.214,0.898,0.683,5.0,27.0,2.45
mu_b21,1.663,1.821,-0.642,4.471,0.879,0.67,5.0,26.0,2.54
b21[1988-1989],1.668,1.82,-0.665,4.459,0.879,0.669,5.0,26.0,2.53
b21[1989-1990],1.664,1.822,-0.667,4.471,0.879,0.67,5.0,25.0,2.53
b21[1990-1991],1.654,1.824,-0.654,4.468,0.88,0.67,5.0,26.0,2.53
b21[1991-1992],1.669,1.821,-0.653,4.468,0.879,0.669,5.0,26.0,2.53
b21[1992-1993],1.664,1.823,-0.666,4.454,0.88,0.67,5.0,26.0,2.52
b21[1993-1994],1.663,1.821,-0.647,4.457,0.879,0.669,5.0,26.0,2.53
b21[1994-1995],1.663,1.822,-0.645,4.473,0.879,0.67,5.0,26.0,2.53
b21[1995-1996],1.662,1.821,-0.663,4.462,0.879,0.67,5.0,26.0,2.53
b21[1996-1997],1.663,1.822,-0.657,4.464,0.879,0.67,5.0,26.0,2.53
b21[1997-1998],1.664,1.821,-0.66,4.487,0.879,0.669,5.0,26.0,2.53
b21[1998-1999],1.674,1.821,-0.667,4.474,0.879,0.669,5.0,26.0,2.53
b21[1999-2000],1.668,1.821,-0.669,4.461,0.879,0.669,5.0,26.0,2.53
b21[2000-2001],1.662,1.822,-0.652,4.481,0.879,0.67,5.0,24.0,2.53
b21[2001-2002],1.66,1.821,-0.661,4.466,0.879,0.669,5.0,25.0,2.53
b21[2002-2003],1.662,1.822,-0.654,4.474,0.879,0.67,5.0,26.0,2.53
b21[2003-2004],1.671,1.82,-0.671,4.454,0.878,0.669,5.0,26.0,2.53
b21[2004-2005],1.659,1.821,-0.68,4.44,0.879,0.669,5.0,25.0,2.53
b21[2005-2006],1.659,1.822,-0.654,4.457,0.879,0.67,5.0,25.0,2.53
b21[2006-2007],1.666,1.821,-0.642,4.474,0.879,0.669,5.0,25.0,2.53
b21[2007-2008],1.666,1.821,-0.674,4.451,0.879,0.669,5.0,26.0,2.53
b21[2008-2009],1.658,1.823,-0.666,4.448,0.88,0.67,5.0,25.0,2.53
b21[2009-2010],1.668,1.821,-0.658,4.476,0.879,0.669,5.0,26.0,2.53
