,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b16[1],-0.064,2.489,-3.843,3.145,1.239,0.949,5.0,26.0,3.04
sigma_b17,3.227,1.353,0.616,4.422,0.584,0.438,6.0,16.0,2.41
b17[0],1.487,1.415,-0.411,3.677,0.703,0.538,4.0,11.0,3.37
b17[1],0.444,1.903,-2.753,2.224,0.946,0.725,5.0,12.0,3.05
sigma_b18,3.482,1.805,1.715,6.242,0.899,0.688,4.0,11.0,3.32
b18[0],0.575,1.609,-1.026,3.241,0.801,0.613,4.0,15.0,3.29
b18[1],1.174,1.411,-0.725,3.157,0.667,0.521,5.0,18.0,2.3
sigma_b19,2.645,1.052,0.989,4.015,0.368,0.27,7.0,20.0,1.73
b19[0],2.062,0.918,1.146,3.406,0.418,0.315,7.0,24.0,1.62
b19[1],0.063,2.277,-2.41,3.775,1.113,0.85,5.0,12.0,2.31
sigma_b20,3.89,3.13,0.199,8.973,1.549,1.193,5.0,25.0,2.8
b20[0],0.14,1.018,-0.912,1.597,0.483,0.367,5.0,24.0,2.71
b20[1],-1.3,0.875,-2.971,0.272,0.375,0.286,6.0,23.0,1.86
sigma_b21,5.495,2.188,2.438,8.834,0.921,0.688,6.0,17.0,1.7
b21[0],0.612,2.617,-1.509,5.005,1.292,0.992,5.0,11.0,2.54
b21[1],0.668,1.187,-0.886,2.495,0.55,0.416,5.0,15.0,2.31
sigma_b22,3.756,1.701,1.777,6.49,0.832,0.635,5.0,14.0,2.63
b22[0],0.678,0.947,-0.531,1.644,0.465,0.36,5.0,14.0,2.23
b22[1],0.731,0.689,0.035,1.738,0.338,0.26,5.0,12.0,2.35
