Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Michael Jordan,28,CHI,478,480,0.996,95,,,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274,jordami01
1st,F,Karl Malone,28,UTA,466,480,0.971,91,,,81,37.7,28.0,11.2,3.0,1.3,0.6,.526,.176,.778,15.1,.237,malonka01
1st,G,Clyde Drexler,29,POR,408,480,0.85,65,,,76,36.2,25.0,6.6,6.7,1.8,0.9,.470,.337,.794,12.8,.223,drexlcl01
1st,C,David Robinson,26,SAS,397,480,0.827,62,,,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260,robinda01
1st,F,Chris Mullin,28,GSW,379,480,0.79,53,,,81,41.3,25.6,5.6,3.5,2.1,0.8,.524,.366,.833,10.8,.155,mullich01
2nd,F,Scottie Pippen,26,CHI,341,480,0.71,37,,,82,38.6,21.0,7.7,7.0,1.9,1.1,.506,.200,.760,12.7,.192,pippesc01
2nd,C,Patrick Ewing,29,NYK,309,480,0.644,31,,,82,38.4,24.0,11.2,1.9,1.1,3.0,.522,.167,.738,13.0,.198,ewingpa01
2nd,G,Tim Hardaway,25,GSW,288,480,0.6,15,,,81,41.1,23.4,3.8,10.0,2.0,0.2,.461,.338,.766,9.2,.132,hardati01
2nd,G,John Stockton,29,UTA,269,480,0.56,14,,,82,36.6,15.8,3.3,13.7,3.0,0.3,.482,.407,.842,13.4,.215,stockjo01
2nd,F,Charles Barkley,28,PHI,196,480,0.408,6,,,75,38.4,23.1,11.1,4.1,1.8,0.6,.552,.234,.695,12.3,.205,barklch01
3rd,F,Dennis Rodman,30,DET,179,480,0.373,5,,,82,40.3,9.8,18.7,2.3,0.8,0.9,.539,.317,.600,12.6,.183,rodmade01
3rd,G,Mark Price,27,CLE,81,480,0.169,0,,,72,29.7,17.3,2.4,7.4,1.3,0.2,.488,.387,.947,9.1,.205,pricema01
3rd,G,Kevin Johnson,25,PHO,78,480,0.162,2,,,78,37.2,19.7,3.7,10.7,1.5,0.3,.479,.217,.807,10.0,.165,johnske02
3rd,C,Brad Daugherty,26,CLE,70,480,0.146,3,,,73,36.2,21.5,10.4,3.6,0.9,1.1,.570,.000,.777,11.7,.213,daughbr01
3rd,F,Kevin Willis,29,ATL,38,480,0.079,0,,,81,36.6,18.3,15.5,2.1,0.9,0.7,.483,.162,.804,8.8,.143,willike02
ORV,G,Jeff Hornacek,28,PHO,50,480,0.104,0,,,81,38.0,20.1,5.0,5.1,2.0,0.4,.512,.439,.886,11.6,.181,hornaje01
ORV,C,Hakeem Olajuwon,29,HOU,37,480,0.077,0,,,70,37.7,21.6,12.1,2.2,1.8,4.3,.502,.000,.766,9.8,.178,olajuha01
ORV,G,Joe Dumars,28,DET,28,480,0.058,1,,,82,38.9,19.9,2.3,4.6,0.9,0.1,.448,.408,.867,8.2,.123,dumarjo01
ORV,F,Larry Johnson,22,CHH,26,480,0.054,0,,,82,37.2,19.2,11.0,3.6,1.0,0.6,.490,.227,.829,8.9,.140,johnsla02
ORV,F,Danny Manning,25,LAC,26,480,0.054,0,,,82,35.4,19.3,6.9,3.5,1.6,1.5,.542,.000,.725,9.8,.162,mannida01
ORV,F,Larry Bird,35,BOS,21,480,0.044,0,,,45,36.9,20.2,9.6,6.8,0.9,0.7,.466,.406,.926,5.5,.159,birdla01
ORV,F,Reggie Lewis*,26,BOS,17,480,0.035,0,,,82,37.4,20.8,4.8,2.3,1.5,1.3,.503,.238,.851,9.1,.143,lewisre01
ORV,F,Larry Nance,32,CLE,16,480,0.033,0,,,81,35.6,17.0,8.3,2.9,1.0,3.0,.539,.000,.822,12.2,.204,nancela01
ORV,G,Isiah Thomas,30,DET,10,480,0.021,0,,,78,37.4,18.5,3.2,7.2,1.5,0.2,.446,.291,.772,5.8,.095,thomais01
ORV,G,Mitch Richmond,26,SAC,9,480,0.019,0,,,80,38.7,22.5,4.0,5.1,1.2,0.4,.468,.384,.813,4.9,.076,richmmi01
ORV,F,Horace Grant,26,CHI,8,480,0.017,0,,,81,35.3,14.2,10.0,2.7,1.2,1.6,.578,.000,.741,14.1,.237,grantho01
ORV,F,Detlef Schrempf,29,IND,8,480,0.017,0,,,80,32.6,17.3,9.6,3.9,0.8,0.5,.536,.324,.828,9.8,.181,schrede01
