Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
ORV,F,Glen Rice,24,MIA,6,480,0.012,0,,,79,38.1,22.3,5.0,2.3,1.1,0.4,.469,.391,.836,7.9,.126,ricegl01
ORV,F,Otis Thorpe,29,HOU,6,480,0.012,0,,,82,37.3,17.3,10.5,3.0,0.6,0.5,.592,.000,.657,8.9,.140,thorpot01
ORV,G,Kendall Gill,23,CHH,3,480,0.006,0,,,79,36.8,20.5,5.1,4.2,1.9,0.6,.467,.240,.745,4.7,.077,gillke01
ORV,G,Jeff Malone,30,UTA,3,480,0.006,0,,,81,36.1,20.2,2.9,2.2,0.7,0.1,.511,.083,.898,6.6,.108,malonje01
ORV,C,Robert Parish,38,BOS,3,480,0.006,0,,,79,28.9,14.1,8.9,0.9,0.9,1.2,.535,,.772,7.4,.155,parisro01
ORV,F,Dominique Wilkins,32,ATL,3,480,0.006,0,,,42,38.1,28.1,7.0,3.8,1.2,0.6,.464,.289,.835,5.1,.152,wilkido01
ORV,F,Buck Williams,31,POR,3,480,0.006,0,,,80,31.5,11.3,8.8,1.4,0.8,0.5,.604,.000,.754,9.2,.175,willibu01
ORV,G,Reggie Miller,26,IND,2,480,0.004,0,0,2,82,38.0,20.7,3.9,3.8,1.3,0.3,.501,.378,.858,11.0,.169,millere01
ORV,G,Ricky Pierce,32,SEA,2,480,0.004,0,0,2,78,34.1,21.7,3.0,3.1,1.1,0.3,.475,.268,.916,7.8,.142,piercri01
ORV,F,James Worthy,30,LAL,2,480,0.004,0,0,2,54,39.0,19.9,5.6,4.7,1.4,0.4,.447,.209,.814,3.1,.070,worthja01
ORV,G,Mookie Blaylock,24,NJN,1,480,0.002,0,0,1,72,35.4,13.8,3.7,6.8,2.4,0.6,.432,.222,.712,4.9,.092,blaylmo01
ORV,F,Derrick Coleman,24,NJN,1,480,0.002,0,0,1,65,34.0,19.8,9.5,3.2,0.8,1.5,.504,.303,.763,5.6,.121,colemde01
ORV,F,Terry Cummings,30,SAS,1,480,0.002,0,0,1,70,30.7,17.3,9.0,1.5,0.8,0.5,.488,.385,.711,6.5,.145,cummite01
ORV,G,Ron Harper,28,LAC,1,480,0.002,0,0,1,82,38.3,18.2,5.5,5.1,1.9,0.9,.440,.303,.736,5.6,.085,harpero01
ORV,G,Mark Jackson,26,NYK,1,480,0.002,0,0,1,81,30.4,11.3,3.8,8.6,1.4,0.2,.491,.256,.770,7.6,.149,jacksma01
ORV,G,Terry Porter,28,POR,1,480,0.002,0,0,1,82,34.0,18.1,3.1,5.8,1.5,0.1,.461,.395,.856,10.6,.182,portete01
