Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
ORV,C,Robert Parish,36,BOS,2,460,0.004,0,0,2,79,30.3,15.7,10.1,1.3,0.5,0.9,.580,,.747,7.8,.157,parisro01
ORV,F,Tony Campbell,27,MIN,1,460,0.002,0,0,1,82,38.6,23.2,5.5,2.6,1.4,0.4,.457,.167,.787,5.3,.081,campbto01
ORV,G,Eddie Johnson,30,PHO,1,460,0.002,0,0,1,64,28.3,16.9,3.8,1.7,0.5,0.2,.453,.380,.917,3.9,.104,johnsed03
ORV,F,Rick Mahorn,31,PHI,1,460,0.002,0,0,1,75,30.3,10.8,7.6,1.3,0.6,1.4,.497,.222,.715,5.3,.113,mahorri01
ORV,G,Jeff Malone,28,WSB,1,460,0.002,0,0,1,75,34.2,24.3,2.7,3.2,0.6,0.1,.491,.167,.877,5.2,.098,malonje01
ORV,F,Charles Oakley,26,NYK,1,460,0.002,0,0,1,61,36.0,14.6,11.9,2.4,1.0,0.3,.524,.000,.761,6.0,.131,oaklech01
ORV,G,Ricky Pierce,30,MIL,1,460,0.002,0,0,1,59,29.0,23.0,2.8,2.3,0.8,0.1,.510,.346,.839,5.8,.163,piercri01
ORV,F,Scottie Pippen,24,CHI,1,460,0.002,0,0,1,82,38.4,16.5,6.7,5.4,2.6,1.2,.489,.250,.675,5.7,.087,pippesc01
ORV,F,Charles Smith,24,LAC,1,460,0.002,0,0,1,78,35.0,21.1,6.7,1.5,1.1,1.5,.520,.083,.794,9.4,.165,smithch01
ORV,F,Hot Rod Williams,27,CLE,1,460,0.002,0,0,1,82,33.9,16.8,8.1,2.0,1.0,2.0,.493,,.739,8.7,.150,williho01
