Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Magic Johnson,30,LAL,458,460,0.996,91,,,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270,johnsma02
1st,F,Charles Barkley,26,PHI,456,460,0.991,91,,,79,39.1,25.2,11.5,3.9,1.9,0.6,.600,.217,.749,17.3,.269,barklch01
1st,F,Karl Malone,26,UTA,456,460,0.991,90,,,82,38.1,31.0,11.1,2.8,1.5,0.6,.562,.372,.762,15.9,.245,malonka01
1st,G,Michael Jordan,26,CHI,453,460,0.985,90,,,82,39.0,33.6,6.9,6.3,2.8,0.7,.526,.376,.848,19.0,.285,jordami01
1st,C,Patrick Ewing,27,NYK,344,460,0.748,44,,,82,38.6,28.6,10.9,2.2,1.0,4.0,.551,.250,.775,13.5,.205,ewingpa01
2nd,C,Hakeem Olajuwon,27,HOU,326,460,0.709,42,,,82,38.1,24.3,14.0,2.9,2.1,4.6,.501,.167,.713,11.2,.173,olajuha01
2nd,G,John Stockton,27,UTA,241,460,0.524,2,,,78,37.4,17.2,2.6,14.5,2.7,0.2,.514,.416,.819,14.4,.238,stockjo01
2nd,F,Tom Chambers,30,PHO,234,460,0.509,1,,,81,37.6,27.2,7.0,2.3,1.1,0.6,.501,.279,.861,11.2,.176,chambto01
2nd,F,Larry Bird,33,BOS,209,460,0.454,1,,,75,39.3,24.3,9.5,7.5,1.4,0.8,.473,.333,.930,9.5,.154,birdla01
2nd,G,Kevin Johnson,23,PHO,177,460,0.385,0,,,74,37.6,22.5,3.6,11.4,1.3,0.2,.499,.195,.838,11.6,.200,johnske02
3rd,C,David Robinson,24,SAS,160,460,0.348,7,,,82,36.6,24.3,12.0,2.0,1.7,3.9,.531,.000,.732,15.1,.241,robinda01
3rd,G,Clyde Drexler,27,POR,113,460,0.246,0,,,73,36.8,23.3,6.9,5.9,2.0,0.7,.494,.283,.774,11.6,.208,drexlcl01
3rd,G,Joe Dumars,26,DET,94,460,0.204,0,,,75,34.4,17.8,2.8,4.9,0.8,0.0,.480,.400,.900,8.7,.162,dumarjo01
3rd,F,James Worthy,28,LAL,85,460,0.185,0,,,80,37.0,21.1,6.0,3.6,1.2,0.6,.548,.306,.782,10.6,.172,worthja01
3rd,F,Chris Mullin,26,GSW,60,460,0.13,0,,,78,36.3,25.1,5.9,4.1,1.6,0.6,.536,.372,.889,10.2,.174,mullich01
ORV,F,Terry Cummings,28,SAS,54,460,0.117,0,,,81,34.8,22.4,8.4,2.7,1.4,0.6,.475,.322,.780,8.7,.149,cummite01
ORV,G,Isiah Thomas,28,DET,36,460,0.078,0,,,81,37.0,18.4,3.8,9.4,1.7,0.2,.438,.309,.775,6.7,.107,thomais01
ORV,F,Dominique Wilkins,30,ATL,36,460,0.078,0,,,80,36.1,26.7,6.5,2.5,1.6,0.6,.484,.322,.807,11.1,.184,wilkido01
ORV,F,Kevin McHale,32,BOS,33,460,0.072,0,,,82,33.2,20.9,8.3,2.1,0.4,1.9,.549,.333,.893,11.1,.195,mchalke01
ORV,G,Reggie Miller,24,IND,25,460,0.054,0,,,82,38.9,24.6,3.6,3.8,1.3,0.2,.514,.414,.868,12.1,.182,millere01
ORV,G,Fat Lever,29,DEN,18,460,0.039,0,,,79,35.8,18.3,9.3,6.5,2.1,0.2,.443,.414,.804,8.8,.149,leverfa01
ORV,F,Buck Williams,29,POR,16,460,0.035,0,,,82,34.2,13.6,9.8,1.4,0.8,0.5,.548,.000,.706,8.7,.149,willibu01
ORV,G,Terry Porter,26,POR,12,460,0.026,0,,,80,34.8,17.6,3.4,9.1,1.9,0.1,.462,.374,.892,11.7,.202,portete01
ORV,G,Mark Price,25,CLE,9,460,0.02,0,,,73,37.1,19.6,3.4,9.1,1.6,0.1,.459,.406,.888,10.1,.179,pricema01
ORV,F,Dennis Rodman,28,DET,7,460,0.015,0,,,82,29.0,8.8,9.7,0.9,0.6,0.7,.581,.111,.654,9.3,.189,rodmade01
ORV,F,Rodney McCray,28,SAC,5,460,0.011,1,0,0,82,39.5,16.6,8.2,4.6,0.7,0.9,.515,.262,.784,7.9,.118,mccraro01
ORV,G,Rolando Blackman,30,DAL,4,460,0.009,0,,,80,36.7,19.4,3.5,3.6,1.0,0.3,.498,.302,.844,6.8,.111,blackro01
ORV,G,Mitch Richmond,24,GSW,4,460,0.009,0,,,78,35.9,22.1,4.6,2.9,1.3,0.3,.497,.358,.866,5.2,.090,richmmi01
ORV,G,Derek Harper,28,DAL,2,460,0.004,0,0,2,82,36.7,18.0,3.0,7.4,2.3,0.3,.488,.371,.794,9.9,.158,harpede01
ORV,F,Bernard King,33,WSB,2,460,0.004,0,0,2,82,32.8,22.4,4.9,4.6,0.6,0.1,.487,.130,.803,5.5,.099,kingbe01
