Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Karl Malone,31,UTA,519,525,0.989,102,,,82,38.1,26.7,10.6,3.5,1.6,1.0,.536,.268,.742,13.8,.212,malonka01
1st,C,David Robinson,29,SAS,479,525,0.912,86,,,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273,robinda01
1st,F,Scottie Pippen,29,CHI,451,525,0.859,73,,,79,38.2,21.4,8.1,5.2,2.9,1.1,.480,.345,.716,11.8,.188,pippesc01
1st,G,John Stockton,32,UTA,447,525,0.851,73,,,82,35.0,14.7,3.1,12.3,2.4,0.3,.542,.449,.804,13.9,.233,stockjo01
1st,G,Anfernee Hardaway,23,ORL,394,525,0.75,55,,,77,37.7,20.9,4.4,7.2,1.7,0.3,.512,.349,.769,10.7,.177,hardaan01
2nd,F,Charles Barkley,31,PHO,363,525,0.691,31,,,68,35.0,23.0,11.1,4.1,1.6,0.7,.486,.338,.748,10.6,.214,barklch01
2nd,G,Gary Payton,26,SEA,342,525,0.651,40,,,82,36.8,20.6,3.4,7.1,2.5,0.2,.509,.302,.716,11.7,.187,paytoga01
2nd,C,Shaquille O'Neal,22,ORL,311,525,0.592,15,,,79,37.0,29.3,11.4,2.7,0.9,2.4,.583,.000,.533,14.0,.230,onealsh01
2nd,G,Mitch Richmond,29,SAC,253,525,0.482,25,,,82,38.7,22.8,4.4,3.8,1.1,0.4,.446,.368,.843,8.0,.120,richmmi01
2nd,F,Shawn Kemp,25,SEA,161,525,0.307,0,,,82,32.7,18.7,10.9,1.8,1.2,1.5,.547,.286,.749,10.6,.190,kempsh01
3rd,G,Reggie Miller,29,IND,158,525,0.301,2,,,81,32.9,19.6,2.6,3.0,1.2,0.2,.462,.415,.897,11.4,.204,millere01
3rd,F,Dennis Rodman,33,SAS,113,525,0.215,1,,,49,32.0,7.1,16.8,2.0,0.6,0.5,.571,.000,.676,5.8,.178,rodmade01
3rd,C,Hakeem Olajuwon,32,HOU,102,525,0.194,3,,,72,39.6,27.8,10.8,3.5,1.8,3.4,.517,.188,.756,10.7,.181,olajuha01
3rd,F,Detlef Schrempf,32,SEA,95,525,0.181,1,,,82,35.2,19.2,6.2,3.8,1.1,0.4,.523,.514,.839,12.9,.215,schrede01
3rd,G,Clyde Drexler,32,TOT,73,525,0.139,4,,,76,35.9,21.8,6.3,4.8,1.8,0.6,.461,.360,.824,11.7,.206,drexlcl01
ORV,F,Jamal Mashburn,22,DAL,64,525,0.122,2,,,80,37.3,24.1,4.1,3.7,1.0,0.1,.436,.328,.739,6.3,.102,mashbja01
ORV,C,Patrick Ewing,32,NYK,51,525,0.097,1,,,79,37.0,23.9,11.0,2.7,0.9,2.0,.503,.286,.750,9.6,.157,ewingpa01
ORV,G,Michael Jordan,31,CHI,44,525,0.084,7,,,17,39.3,26.9,6.9,5.3,1.8,0.8,.411,.500,.801,2.3,.167,jordami01
ORV,G,Jim Jackson,24,DAL,35,525,0.067,2,,,51,38.9,25.7,5.1,3.7,0.5,0.2,.472,.318,.805,4.9,.118,jacksji01
ORV,G,Dana Barros,27,PHI,32,525,0.061,0,,,82,40.5,20.6,3.3,7.5,1.8,0.0,.490,.464,.899,12.7,.183,barroda01
ORV,F,Larry Johnson,25,CHH,26,525,0.05,0,,,81,39.9,18.8,7.2,4.6,1.0,0.3,.480,.386,.774,8.5,.126,johnsla02
ORV,F,Cedric Ceballos,25,LAL,20,525,0.038,0,,,58,35.0,21.7,8.0,1.8,1.0,0.3,.509,.397,.716,5.2,.123,cebalce01
ORV,F,Glen Rice,27,MIA,18,525,0.034,0,,,82,36.8,22.3,4.6,2.3,1.4,0.2,.475,.410,.855,10.0,.159,ricegl01
ORV,F,Horace Grant,29,ORL,17,525,0.032,0,,,74,36.4,12.8,9.7,2.3,1.0,1.2,.567,.000,.692,9.5,.169,grantho01
ORV,F,Vin Baker,23,MIL,16,525,0.03,0,,,82,41.0,17.7,10.3,3.6,1.0,1.4,.483,.292,.593,5.8,.083,bakervi01
ORV,G,Nick Van Exel,23,LAL,13,525,0.025,0,,,80,36.8,16.9,2.8,8.3,1.2,0.1,.420,.358,.783,6.4,.104,vanexni01
ORV,G,Joe Dumars,31,DET,11,525,0.021,1,,,67,38.0,18.1,2.4,5.5,1.1,0.1,.430,.305,.805,1.7,.032,dumarjo01
ORV,G,Jason Kidd,21,DAL,10,525,0.019,0,,,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066,kiddja01
ORV,G,Tim Hardaway,28,GSW,9,525,0.017,0,,,62,37.4,20.1,3.1,9.3,1.4,0.2,.427,.378,.760,5.1,.105,hardati01
ORV,G,Muggsy Bogues,30,CHH,7,525,0.013,0,,,78,33.7,11.1,3.3,8.7,1.3,0.0,.477,.200,.889,8.6,.157,boguemu01
ORV,F,Sean Elliott,26,SAS,7,525,0.013,0,,,81,35.3,18.1,3.5,2.5,1.0,0.5,.468,.408,.807,8.7,.147,elliose01
ORV,F,Tyrone Hill,26,CLE,7,525,0.013,0,,,70,34.2,13.8,10.9,0.8,0.8,0.6,.504,.000,.662,6.9,.138,hillty01
