Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Charles Barkley,29,PHO,490,490,1,98,0,0,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242,barklch01
1st,G,Michael Jordan,29,CHI,490,490,1,98,0,0,78,39.3,32.6,6.7,5.5,2.8,0.8,.495,.352,.837,17.2,.270,jordami01
1st,C,Hakeem Olajuwon,30,HOU,455,490,0.929,83,,,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234,olajuha01
1st,F,Karl Malone,29,UTA,377,490,0.769,45,,,82,37.8,27.0,11.2,3.8,1.5,1.0,.552,.200,.740,15.4,.238,malonka01
1st,G,Mark Price,28,CLE,344,490,0.702,44,,,75,31.7,18.2,2.7,8.0,1.2,0.1,.484,.416,.948,9.8,.197,pricema01
2nd,F,Dominique Wilkins,33,ATL,372,490,0.759,47,,,71,37.3,29.9,6.8,3.2,1.0,0.4,.468,.380,.828,10.5,.191,wilkido01
2nd,G,John Stockton,30,UTA,294,490,0.6,26,,,82,34.9,15.1,2.9,12.0,2.4,0.3,.486,.385,.798,10.6,.177,stockjo01
2nd,C,Patrick Ewing,30,NYK,292,490,0.596,15,,,81,37.1,24.2,12.1,1.9,0.9,2.0,.503,.143,.719,10.6,.170,ewingpa01
2nd,G,Joe Dumars,29,DET,290,490,0.592,24,,,77,40.2,23.5,1.9,4.0,1.0,0.1,.466,.375,.864,9.1,.141,dumarjo01
2nd,F,Larry Johnson,23,CHH,155,490,0.316,3,,,82,40.5,22.1,10.5,4.3,0.6,0.3,.526,.254,.767,9.6,.139,johnsla02
3rd,F,Scottie Pippen,27,CHI,136,490,0.278,1,,,81,38.6,18.6,7.7,6.3,2.1,0.9,.473,.237,.663,8.6,.132,pippesc01
3rd,G,Tim Hardaway,26,GSW,99,490,0.202,3,,,66,39.5,21.5,4.0,10.6,1.8,0.2,.447,.330,.744,7.5,.138,hardati01
3rd,G,Dražen Petrović,28,NJN,86,490,0.176,0,,,70,38.0,22.3,2.7,3.5,1.3,0.2,.518,.449,.870,8.4,.152,petrodr01
3rd,C,David Robinson,27,SAS,72,490,0.147,0,,,82,39.2,23.4,11.7,3.7,1.5,3.2,.501,.176,.732,13.2,.197,robinda01
3rd,F,Derrick Coleman,25,NJN,60,490,0.122,1,,,76,36.3,20.7,11.2,3.6,1.2,1.7,.460,.232,.808,9.5,.165,colemde01
ORV,C,Shaquille O'Neal,20,ORL,58,490,0.118,0,,,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163,onealsh01
ORV,F,Danny Manning,26,LAC,55,490,0.112,0,,,79,34.9,22.8,6.6,2.6,1.4,1.3,.509,.267,.802,7.9,.137,mannida01
ORV,G,Dan Majerle,27,PHO,49,490,0.1,1,,,82,39.0,16.9,4.7,3.8,1.7,0.4,.464,.381,.778,9.8,.147,majerda01
ORV,F,Shawn Kemp,23,SEA,45,490,0.092,1,,,78,33.1,17.8,10.7,2.0,1.5,1.9,.492,.000,.712,9.1,.169,kempsh01
ORV,F,Detlef Schrempf,30,IND,28,490,0.057,0,,,82,37.8,19.1,9.5,6.0,1.0,0.3,.476,.154,.804,10.4,.161,schrede01
