Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Scottie Pippen,28,CHI,485,515,0.942,94,,,72,38.3,22.0,8.7,5.6,2.9,0.8,.491,.320,.660,11.2,.194,pippesc01
1st,C,Hakeem Olajuwon,31,HOU,433,515,0.841,68,,,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210,olajuha01
1st,F,Karl Malone,30,UTA,417,515,0.81,65,,,82,40.6,25.2,11.5,4.0,1.5,1.5,.497,.250,.694,13.4,.193,malonka01
1st,G,John Stockton,31,UTA,356,515,0.691,56,,,82,36.2,15.1,3.1,12.6,2.4,0.3,.528,.322,.805,13.2,.214,stockjo01
1st,G,Latrell Sprewell,23,GSW,252,515,0.489,29,,,82,43.1,21.0,4.9,4.7,2.2,0.9,.433,.361,.774,8.0,.108,sprewla01
2nd,C,David Robinson,28,SAS,341,515,0.662,29,,,80,40.5,29.8,10.7,4.8,1.7,3.3,.507,.345,.749,20.0,.296,robinda01
2nd,F,Shawn Kemp,24,SEA,212,515,0.411,17,,,79,32.9,18.1,10.8,2.6,1.8,2.1,.538,.250,.741,11.7,.216,kempsh01
2nd,F,Charles Barkley,30,PHO,204,515,0.396,15,,,65,35.4,21.6,11.2,4.6,1.6,0.6,.495,.270,.704,8.8,.185,barklch01
2nd,G,Mitch Richmond,28,SAC,198,515,0.384,24,,,78,37.1,23.4,3.7,4.0,1.3,0.2,.445,.407,.834,6.4,.106,richmmi01
2nd,G,Kevin Johnson,27,PHO,190,515,0.369,23,,,67,36.6,20.0,2.5,9.5,1.9,0.1,.487,.222,.819,8.7,.170,johnske02
3rd,G,Mark Price,29,CLE,182,515,0.353,22,,,76,31.4,17.3,3.0,7.8,1.4,0.1,.478,.397,.888,10.0,.201,pricema01
3rd,G,Gary Payton,25,SEA,175,515,0.34,21,,,82,35.1,16.5,3.3,6.0,2.3,0.2,.504,.278,.595,9.3,.155,paytoga01
3rd,F,Derrick Coleman,26,NJN,139,515,0.27,4,,,77,36.1,20.2,11.3,3.4,0.9,1.8,.447,.314,.774,9.9,.171,colemde01
3rd,F,Dominique Wilkins,34,TOT,106,515,0.206,3,,,74,35.6,26.0,6.5,2.3,1.2,0.4,.440,.288,.847,8.4,.153,wilkido01
3rd,C,Shaquille O'Neal,21,ORL,95,515,0.183,3,,,81,39.8,29.3,13.2,2.4,0.9,2.9,.599,.000,.554,16.9,.252,onealsh01
ORV,G,Kenny Anderson,23,NJN,170,515,0.33,13,,,82,38.2,18.8,3.9,9.6,1.9,0.2,.417,.303,.818,7.5,.114,anderke01
ORV,G,Reggie Miller,28,IND,106,515,0.206,7,,,79,33.4,19.9,2.7,3.1,1.5,0.3,.503,.421,.908,11.7,.212,millere01
ORV,G,Mookie Blaylock,26,ATL,95,515,0.184,4,,,81,36.0,13.8,5.2,9.7,2.6,0.5,.411,.334,.730,10.2,.168,blaylmo01
ORV,F,Kevin Willis,31,ATL,77,515,0.15,3,,,80,35.8,19.1,12.0,1.9,1.0,0.5,.499,.375,.713,10.2,.170,willike02
ORV,F,Dennis Rodman,32,SAS,52,515,0.101,1,,,79,37.8,4.7,17.3,2.3,0.7,0.4,.534,.208,.520,8.7,.140,rodmade01
ORV,F,Charles Oakley,30,NYK,41,515,0.079,0,,,82,35.8,11.8,11.8,2.7,1.3,0.2,.478,.000,.776,10.5,.172,oaklech01
ORV,C,Patrick Ewing,31,NYK,35,515,0.068,0,,,79,37.6,24.5,11.2,2.3,1.1,2.7,.496,.286,.765,13.1,.211,ewingpa01
ORV,F,Horace Grant,28,CHI,35,515,0.068,0,,,70,36.7,15.1,11.0,3.4,1.1,1.2,.524,.000,.596,10.0,.188,grantho01
ORV,G,Joe Dumars,30,DET,34,515,0.066,2,,,69,37.6,20.4,2.2,3.8,0.9,0.1,.452,.388,.836,4.4,.082,dumarjo01
ORV,F,Danny Manning,27,TOT,34,515,0.066,0,,,68,37.1,20.6,6.8,3.8,1.5,1.2,.488,.176,.669,3.5,.066,mannida01
ORV,G,Rod Strickland,27,POR,11,515,0.021,0,,,82,35.2,17.2,4.5,9.0,1.8,0.3,.483,.200,.749,9.3,.155,stricro02
ORV,G,Clyde Drexler,31,POR,8,515,0.016,0,,,68,34.3,19.2,6.5,4.9,1.4,0.5,.428,.324,.777,6.8,.140,drexlcl01
ORV,G,B.J. Armstrong,26,CHI,6,515,0.012,1,0,1,82,33.8,14.8,2.1,3.9,1.0,0.1,.476,.444,.855,7.5,.130,armstbj01
ORV,G,Dan Majerle,28,PHO,6,515,0.012,1,0,1,80,40.1,16.5,4.4,3.4,1.6,0.5,.418,.382,.739,7.3,.109,majerda01
ORV,G,Steve Smith,24,MIA,6,515,0.012,1,0,1,78,35.6,17.3,4.5,5.1,1.1,0.4,.456,.347,.835,8.1,.141,smithst01
ORV,C,Dikembe Mutombo,27,DEN,5,515,0.01,1,0,0,82,34.8,12.0,11.8,1.5,0.7,4.1,.569,.000,.583,9.4,.158,mutomdi01
ORV,F,Glen Rice,26,MIA,5,515,0.01,0,,,81,37.0,21.1,5.4,2.3,1.4,0.4,.467,.382,.880,10.2,.163,ricegl01
ORV,F,Clifford Robinson,27,POR,5,515,0.01,0,,,82,34.8,20.1,6.7,1.9,1.4,1.4,.457,.245,.765,7.5,.126,robincl02
ORV,F,Stacey Augmon,25,ATL,4,515,0.008,0,,,82,31.8,14.8,4.8,2.3,1.8,0.5,.510,.143,.764,9.7,.179,augmost01
ORV,G,Kendall Gill,25,SEA,4,515,0.008,0,,,79,30.8,14.1,3.4,3.5,1.9,0.4,.443,.317,.782,6.7,.132,gillke01
ORV,G,Nate McMillan,29,SEA,3,515,0.006,0,,,73,25.8,6.0,3.9,5.3,3.0,0.3,.447,.391,.564,6.0,.154,mcmilna01
ORV,F,Detlef Schrempf,31,SEA,3,515,0.006,0,,,81,33.7,15.0,5.6,3.4,0.9,0.1,.493,.324,.769,8.4,.148,schrede01
ORV,G,Muggsy Bogues,29,CHH,2,515,0.004,0,0,2,77,35.7,10.8,4.1,10.1,1.7,0.0,.471,.167,.806,6.4,.112,boguemu01
ORV,G,Anfernee Hardaway,22,ORL,2,515,0.004,0,0,2,82,36.8,16.0,5.4,6.6,2.3,0.6,.466,.267,.742,7.1,.112,hardaan01
ORV,F,Tom Gugliotta,24,WSB,1,515,0.002,0,0,1,78,35.8,17.1,9.3,3.5,2.2,0.7,.466,.270,.685,3.8,.066,guglito01
ORV,G,Ron Harper,30,LAC,1,515,0.002,0,0,1,75,38.1,20.1,6.1,4.6,1.9,0.7,.426,.301,.715,2.9,.049,harpero01
ORV,G,Jeff Hornacek,30,TOT,1,515,0.002,0,0,1,80,35.3,15.9,3.5,5.2,1.6,0.2,.470,.337,.878,6.9,.117,hornaje01
ORV,G,Jim Jackson,23,DAL,1,515,0.002,0,0,1,82,37.4,19.2,4.7,4.6,1.1,0.3,.445,.283,.821,0.6,.009,jacksji01
ORV,F,Derrick McKey,27,IND,1,515,0.002,0,0,1,76,34.4,12.0,5.3,4.3,1.5,0.6,.500,.290,.756,5.0,.092,mckeyde01
ORV,G,John Starks,28,NYK,1,515,0.002,0,0,1,59,34.9,19.0,3.1,5.9,1.6,0.1,.420,.335,.754,5.8,.135,starkjo01
ORV,F,Clarence Weatherspoon,23,PHI,1,515,0.002,0,0,1,82,38.4,18.4,10.1,2.3,1.2,1.4,.483,.235,.693,6.0,.091,weathcl01
ORV,F,Chris Webber,20,GSW,1,515,0.002,0,0,1,76,32.1,17.5,9.1,3.6,1.2,2.2,.552,.000,.532,7.8,.154,webbech01
