Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
3rd,C,Dikembe Mutombo,35,PHI,105,630,0.167,0,,,80,36.3,11.5,10.8,1.0,0.4,2.4,.501,,.764,9.6,.158,mutomdi01
3rd,G,Steve Nash,27,DAL,96,630,0.152,1,,,82,34.6,17.9,3.1,7.7,0.6,0.0,.483,.455,.887,9.9,.167,nashst01
3rd,C,Jermaine O'Neal,23,IND,78,630,0.124,0,,,72,37.6,19.0,10.5,1.6,0.6,2.3,.479,.071,.688,6.4,.113,onealje01
ORV,F,Peja Stojaković,24,SAC,55,630,0.087,0,,,71,37.3,21.2,5.3,2.5,1.1,0.2,.484,.416,.876,9.9,.179,stojape01
ORV,C,Vlade Divac,33,SAC,51,630,0.081,0,,,80,30.3,11.1,8.4,3.7,1.0,1.2,.472,.231,.615,7.3,.145,divacvl01
ORV,G,Jerry Stackhouse,27,DET,46,630,0.073,1,,,76,35.3,21.4,4.1,5.3,1.0,0.5,.397,.287,.858,5.8,.104,stackje01
ORV,F,Karl Malone,38,UTA,41,630,0.065,1,,,80,38.0,22.4,8.6,4.3,1.9,0.7,.454,.360,.797,9.8,.155,malonka01
ORV,G,Andre Miller,25,CLE,32,630,0.051,0,,,81,37.3,16.5,4.7,10.9,1.6,0.4,.454,.253,.817,10.3,.163,millean02
ORV,F,Elton Brand,22,LAC,29,630,0.046,1,,,80,37.8,18.2,11.6,2.4,1.0,2.0,.527,,.742,13.6,.216,brandel01
ORV,G,Michael Jordan,38,WAS,29,630,0.046,0,,,60,34.9,22.9,5.7,5.2,1.4,0.4,.416,.189,.790,3.3,.075,jordami01
ORV,F,Antoine Walker,25,BOS,28,630,0.044,0,,,81,42.0,22.1,8.8,5.0,1.5,0.5,.394,.344,.741,6.7,.094,walkean02
ORV,C,Alonzo Mourning,31,MIA,25,630,0.04,0,,,75,32.7,15.7,8.4,1.2,0.4,2.5,.516,.333,.657,7.4,.145,mournal01
ORV,F,Baron Davis,22,CHH,24,630,0.038,0,,,82,40.5,18.1,4.3,8.5,2.1,0.6,.417,.356,.580,8.2,.118,davisba01
ORV,F,Rasheed Wallace,27,POR,15,630,0.024,0,,,79,37.5,19.3,8.2,1.9,1.3,1.3,.469,.360,.734,9.7,.158,wallara01
ORV,G,Ray Allen,26,MIL,13,630,0.021,0,,,69,36.6,21.8,4.5,3.9,1.3,0.3,.462,.434,.873,8.9,.169,allenra02
ORV,G,John Stockton,39,UTA,11,630,0.017,1,,,82,31.3,13.4,3.2,8.2,1.9,0.3,.517,.321,.857,10.7,.200,stockjo01
ORV,F,Shareef Abdur-Rahim,25,ATL,5,630,0.008,0,,,77,38.7,21.2,9.0,3.1,1.3,1.1,.461,.300,.801,7.2,.116,abdursh01
ORV,G,Michael Finley,28,DAL,5,630,0.008,0,,,69,39.9,20.6,5.2,3.3,0.9,0.4,.463,.339,.837,6.3,.110,finlemi01
ORV,G,Steve Francis,24,HOU,5,630,0.008,0,,,57,41.1,21.6,7.0,6.4,1.2,0.4,.417,.324,.773,4.4,.091,francst01
ORV,G,Mike Bibby,23,SAC,4,630,0.006,0,,,80,33.2,13.7,2.8,5.0,1.1,0.2,.453,.370,.803,6.3,.113,bibbymi01
ORV,F,Pau Gasol,21,MEM,4,630,0.006,0,,,82,36.7,17.6,8.9,2.7,0.5,2.1,.518,.200,.709,7.6,.121,gasolpa01
ORV,C,Raef LaFrentz,25,TOT,4,630,0.006,0,,,78,31.5,13.5,7.4,1.1,0.7,2.7,.458,.388,.695,6.4,.125,lafrera01
ORV,F,Shawn Marion,23,PHO,4,630,0.006,0,,,81,38.4,19.1,9.9,2.0,1.8,1.1,.469,.393,.845,9.8,.151,mariosh01
ORV,C,David Robinson,36,SAS,4,630,0.006,0,,,78,29.5,12.2,8.3,1.2,1.1,1.8,.507,,.681,10.1,.211,robinda01
ORV,F,Vince Carter,25,TOR,3,630,0.005,0,,,60,39.8,24.7,5.2,4.0,1.6,0.7,.428,.387,.798,7.0,.140,cartevi01
ORV,C,Antonio Davis,33,TOR,3,630,0.005,0,,,77,38.7,14.5,9.6,2.0,0.7,1.1,.426,.000,.818,6.5,.105,davisan01
ORV,F,Clifford Robinson,35,DET,3,630,0.005,0,,,80,35.7,14.6,4.8,2.5,1.1,1.2,.425,.378,.694,4.3,.073,robincl02
ORV,F,Rashard Lewis,22,SEA,2,630,0.003,0,0,2,71,36.4,16.8,7.0,1.7,1.5,0.6,.468,.389,.810,8.6,.160,lewisra02
ORV,C,Michael Olowokandi,26,LAC,2,630,0.003,0,0,2,80,32.1,11.1,8.9,1.1,0.7,1.8,.433,,.622,1.6,.029,olowomi01
ORV,C,Elden Campbell,33,CHH,1,630,0.002,0,0,1,77,28.0,13.9,6.9,1.3,0.8,1.8,.484,.000,.797,7.6,.168,campbel01
ORV,G,Sam Cassell,32,MIL,1,630,0.002,0,0,1,74,35.2,19.7,4.2,6.7,1.2,0.2,.463,.348,.860,8.6,.158,cassesa01
ORV,G,Reggie Miller,36,IND,1,630,0.002,0,0,1,79,36.6,16.5,2.8,3.2,1.1,0.1,.453,.406,.911,9.5,.159,millere01
ORV,G,Cuttino Mobley,26,HOU,1,630,0.002,0,0,1,74,42.1,21.7,4.1,2.5,1.5,0.5,.438,.395,.850,5.7,.087,moblecu01
ORV,F,Wally Szczerbiak,24,MIN,1,630,0.002,0,0,1,82,38.0,18.7,4.8,3.1,0.8,0.3,.508,.455,.831,8.7,.134,szczewa02
