Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,C,Shaquille O'Neal,29,LAL,626,630,0.994,125,0,1,67,36.1,27.2,10.7,3.0,0.6,2.0,.579,.000,.555,13.2,.262,onealsh01
1st,F,Tim Duncan,25,SAS,626,630,0.994,124,,,82,40.6,25.5,12.7,3.7,0.7,2.5,.508,.100,.799,17.8,.257,duncati01
1st,G,Jason Kidd,28,NJN,601,630,0.954,115,,,82,37.3,14.7,7.3,9.9,2.1,0.2,.391,.321,.814,8.9,.140,kiddja01
1st,F,Tracy McGrady,22,ORL,513,630,0.814,80,,,76,38.3,25.6,7.9,5.3,1.6,1.0,.451,.364,.748,11.5,.189,mcgratr01
1st,G,Kobe Bryant,23,LAL,507,630,0.805,72,,,80,38.3,25.2,5.5,5.5,1.5,0.4,.469,.250,.829,12.7,.199,bryanko01
2nd,F,Kevin Garnett,25,MIN,391,630,0.621,31,,,81,39.2,21.2,12.1,5.2,1.2,1.6,.470,.319,.801,12.8,.194,garneke01
2nd,F,Dirk Nowitzki,23,DAL,358,630,0.568,22,,,76,38.0,23.4,9.9,2.4,1.1,1.0,.477,.397,.853,13.4,.222,nowitdi01
2nd,F,Chris Webber,28,SAC,339,630,0.538,21,,,54,38.4,24.5,10.1,4.8,1.7,1.4,.495,.263,.749,8.6,.200,webbech01
2nd,G,Gary Payton,33,SEA,284,630,0.451,11,,,82,40.3,22.1,4.8,9.0,1.6,0.3,.467,.314,.797,12.6,.183,paytoga01
2nd,G,Allen Iverson,26,PHI,272,630,0.432,12,,,60,43.7,31.4,4.5,5.5,2.8,0.2,.398,.291,.812,6.9,.126,iversal01
3rd,F,Paul Pierce,24,BOS,230,630,0.365,9,,,82,40.3,26.1,6.9,3.2,1.9,1.0,.442,.404,.809,12.9,.187,piercpa01
3rd,C,Ben Wallace,27,DET,195,630,0.31,3,,,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,wallabe01
