Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
ORV,G,Reggie Miller,33,IND,57,590,0.097,1,,,50,35.7,18.4,2.7,2.2,0.7,0.2,.438,.385,.915,6.4,.172,millere01
ORV,G,Stephon Marbury,21,TOT,54,590,0.092,0,,,49,38.7,21.3,2.9,8.9,1.2,0.2,.428,.335,.799,5.3,.134,marbust01
ORV,G,Anfernee Hardaway,27,ORL,41,590,0.069,2,,,50,38.9,15.8,5.7,5.3,2.2,0.5,.420,.286,.706,5.0,.122,hardaan01
ORV,F,Shareef Abdur-Rahim,22,VAN,36,590,0.061,0,,,50,40.4,23.0,7.5,3.4,1.4,1.1,.432,.306,.841,4.6,.108,abdursh01
ORV,C,Dikembe Mutombo,32,ATL,33,590,0.056,0,,,50,36.6,10.8,12.2,1.1,0.3,2.9,.512,,.684,7.9,.206,mutomdi01
ORV,F,Shawn Kemp,29,CLE,30,590,0.051,0,,,42,35.1,20.5,9.2,2.4,1.1,1.1,.482,.500,.789,6.3,.205,kempsh01
ORV,C,David Robinson,33,SAS,22,590,0.037,0,,,49,31.7,15.8,10.0,2.1,1.4,2.4,.509,.000,.658,8.4,.261,robinda01
ORV,G,Rod Strickland,32,WAS,21,590,0.036,0,,,44,37.1,15.7,4.8,9.9,1.7,0.1,.416,.286,.746,4.1,.120,stricro02
ORV,G,Ray Allen,23,MIL,16,590,0.027,0,,,50,34.4,17.1,4.2,3.6,1.1,0.1,.450,.356,.903,5.2,.146,allenra02
ORV,G,Michael Finley,25,DAL,16,590,0.027,0,,,50,41.0,20.2,5.3,4.4,1.3,0.3,.444,.331,.823,5.4,.126,finlemi01
ORV,F,Charles Barkley,35,HOU,14,590,0.024,0,,,42,36.3,16.1,12.3,4.6,1.0,0.3,.478,.160,.719,6.8,.215,barklch01
ORV,G,Darrell Armstrong,30,ORL,12,590,0.02,0,,,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205,armstda01
ORV,C,Vlade Divac,30,SAC,11,590,0.019,0,,,50,35.2,14.3,10.0,4.3,0.9,1.0,.470,.256,.702,5.2,.142,divacvl01
ORV,G,Vince Carter,22,TOR,10,590,0.017,0,,,50,35.2,18.3,5.7,3.0,1.1,1.5,.450,.288,.761,5.0,.136,cartevi01
ORV,F,Brian Grant,26,POR,10,590,0.017,0,,,48,31.8,11.5,9.8,1.4,0.4,0.7,.479,,.814,5.9,.185,grantbr01
ORV,G,Damon Stoudamire,25,POR,10,590,0.017,0,,,50,33.5,12.6,3.3,6.2,1.0,0.1,.396,.310,.730,3.6,.102,stoudda01
ORV,G,Eddie Jones,27,TOT,9,590,0.015,0,,,50,37.6,15.6,3.9,3.7,2.5,1.2,.437,.338,.782,6.0,.153,jonesed02
ORV,G,Mark Jackson,33,IND,7,590,0.012,0,,,49,28.2,7.6,3.8,7.9,0.9,0.1,.419,.311,.823,3.8,.134,jacksma01
ORV,G,Mitch Richmond,33,WAS,7,590,0.012,0,,,50,38.2,19.7,3.4,2.4,1.3,0.2,.412,.317,.857,3.3,.082,richmmi01
ORV,F,Glenn Robinson,26,MIL,5,590,0.008,0,,,47,33.6,18.4,5.9,2.1,1.0,0.9,.459,.392,.870,4.0,.122,robingl01
ORV,F,Keith Van Horn,23,NJN,5,590,0.008,0,,,42,37.5,21.8,8.5,1.5,1.0,1.3,.428,.302,.859,3.7,.113,vanhoke01
ORV,C,Arvydas Sabonis,34,POR,4,590,0.007,0,,,50,27.0,12.1,7.9,2.4,0.7,1.3,.485,.292,.771,5.8,.207,sabonar01
ORV,G,Avery Johnson,33,SAS,2,590,0.003,0,0,2,50,33.4,9.7,2.4,7.4,1.0,0.2,.473,.083,.568,3.9,.111,johnsav01
ORV,F,Bryon Russell,28,UTA,2,590,0.003,0,0,2,50,35.4,12.4,5.3,1.5,1.5,0.3,.464,.354,.795,5.6,.151,russebr01
ORV,F,Rasheed Wallace,24,POR,2,590,0.003,0,0,2,49,28.9,12.8,4.9,1.2,1.0,1.1,.508,.419,.732,5.0,.169,wallara01
ORV,G,Jason Williams,23,SAC,2,590,0.003,0,0,2,50,36.1,12.8,3.1,6.0,1.9,0.0,.374,.310,.752,2.1,.055,willija02
ORV,F,Tom Gugliotta,29,PHO,1,590,0.002,0,0,1,43,36.3,17.0,8.9,2.8,1.4,0.5,.483,.286,.794,5.4,.165,guglito01
ORV,F,Scottie Pippen,33,HOU,1,590,0.002,0,0,1,50,40.2,14.5,6.5,5.9,2.0,0.7,.432,.340,.721,4.9,.116,pippesc01
ORV,G,Isaiah Rider,27,POR,1,590,0.002,0,0,1,47,29.5,13.9,4.2,2.2,0.5,0.2,.412,.378,.755,2.5,.086,rideris01
ORV,C,Rik Smits,32,IND,1,590,0.002,0,0,1,49,25.9,14.9,5.6,1.1,0.4,1.1,.490,.000,.818,3.4,.130,smitsri01
