Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Karl Malone,35,UTA,580,590,0.983,113,,,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252,malonka01
1st,F,Tim Duncan,22,SAS,576,590,0.976,112,,,50,39.3,21.7,11.4,2.4,0.9,2.5,.495,.143,.690,8.7,.213,duncati01
1st,C,Alonzo Mourning,28,MIA,542,590,0.919,95,,,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,mournal01
1st,G,Allen Iverson,23,PHI,532,590,0.902,93,,,48,41.5,26.8,4.9,4.6,2.3,0.1,.412,.291,.751,7.2,.173,iversal01
1st,G,Jason Kidd,25,PHO,516,590,0.875,86,,,50,41.2,16.9,6.8,10.8,2.3,0.4,.444,.366,.757,8.1,.188,kiddja01
2nd,G,Gary Payton,30,SEA,440,590,0.746,51,,,50,40.2,21.7,4.9,8.7,2.2,0.2,.434,.295,.721,7.2,.172,paytoga01
2nd,C,Shaquille O'Neal,26,LAL,382,590,0.647,23,,,49,34.8,26.3,10.7,2.3,0.7,1.7,.576,.000,.540,9.0,.255,onealsh01
2nd,F,Chris Webber,25,SAC,278,590,0.471,3,,,42,40.9,20.0,13.0,4.1,1.4,2.1,.486,.118,.454,3.6,.102,webbech01
2nd,F,Grant Hill,26,DET,263,590,0.446,4,,,50,37.0,21.1,7.1,6.0,1.6,0.5,.479,.000,.752,7.3,.189,hillgr01
2nd,G,Tim Hardaway,32,MIA,168,590,0.285,1,,,48,36.9,17.4,3.2,7.3,1.2,0.1,.400,.360,.812,5.4,.146,hardati01
3rd,F,Kevin Garnett,22,MIN,132,590,0.224,4,,,47,37.9,20.8,10.4,4.3,1.7,1.8,.460,.286,.704,5.4,.146,garneke01
3rd,F,Antonio McDyess,24,DEN,80,590,0.136,0,,,50,38.7,21.2,10.7,1.6,1.5,2.3,.471,.111,.680,4.2,.105,mcdyean01
3rd,G,Kobe Bryant,20,LAL,75,590,0.127,1,,,50,37.9,19.9,5.3,3.8,1.4,1.0,.465,.267,.839,5.2,.130,bryanko01
3rd,G,John Stockton,36,UTA,75,590,0.127,1,,,50,28.2,11.1,2.9,7.5,1.6,0.3,.488,.320,.811,6.4,.217,stockjo01
3rd,C,Hakeem Olajuwon,36,HOU,67,590,0.114,0,,,50,35.7,18.9,9.6,1.8,1.6,2.5,.514,.308,.717,6.5,.175,olajuha01
ORV,G,Steve Smith,29,ATL,63,590,0.107,0,,,36,36.5,18.7,4.2,3.3,1.0,0.3,.402,.338,.849,4.4,.162,smithst01
