Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Allen Iverson,25,PHI,612,620,0.987,120,,,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190,iversal01
1st,F,Tim Duncan,24,SAS,608,620,0.981,115,,,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200,duncati01
1st,F,Chris Webber,27,SAC,596,620,0.961,109,,,70,40.5,27.1,11.1,4.2,1.3,1.7,.481,.071,.703,11.0,.186,webbech01
1st,C,Shaquille O'Neal,28,LAL,581,620,0.937,115,,,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245,onealsh01
1st,G,Jason Kidd,27,PHO,423,620,0.682,54,,,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150,kiddja01
2nd,F,Kevin Garnett,24,MIN,424,620,0.684,25,,,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176,garneke01
2nd,G,Kobe Bryant,22,LAL,411,620,0.663,36,,,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196,bryanko01
2nd,F,Tracy McGrady,21,ORL,318,620,0.513,21,,,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189,mcgratr01
2nd,F,Vince Carter,24,TOR,287,620,0.463,11,,,75,39.7,27.6,5.5,3.9,1.5,1.1,.460,.408,.765,12.9,.208,cartevi01
2nd,C,Dikembe Mutombo,34,TOT,238,620,0.384,0,,,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,mutomdi01
3rd,F,Karl Malone,37,UTA,197,620,0.318,0,,,81,35.7,23.2,8.3,4.5,1.1,0.8,.498,.400,.793,13.1,.217,malonka01
3rd,C,David Robinson,35,SAS,165,620,0.266,0,,,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246,robinda01
3rd,G,Gary Payton,32,SEA,117,620,0.189,1,,,79,41.1,23.1,4.6,8.1,1.6,0.3,.456,.375,.766,10.8,.160,paytoga01
3rd,G,Ray Allen,25,MIL,105,620,0.169,3,,,82,38.2,22.0,5.2,4.6,1.5,0.2,.480,.433,.888,13.7,.211,allenra02
3rd,F,Dirk Nowitzki,22,DAL,56,620,0.09,0,,,82,38.1,21.8,9.2,2.1,1.0,1.2,.474,.387,.838,14.6,.224,nowitdi01
ORV,G,Jerry Stackhouse,26,DET,54,620,0.087,3,,,80,40.2,29.8,3.9,5.1,1.2,0.7,.402,.351,.822,9.2,.137,stackje01
ORV,F,Rasheed Wallace,26,POR,51,620,0.082,0,,,77,38.2,19.2,7.8,2.8,1.2,1.8,.501,.321,.766,11.0,.180,wallara01
ORV,G,Michael Finley,27,DAL,44,620,0.071,0,,,82,42.0,21.5,5.2,4.4,1.4,0.4,.458,.346,.775,8.5,.119,finlemi01
ORV,G,Stephon Marbury,23,NJN,38,620,0.061,0,,,67,38.2,23.9,3.1,7.6,1.2,0.1,.441,.328,.790,7.8,.147,marbust01
ORV,F,Paul Pierce,23,BOS,38,620,0.061,0,,,82,38.0,25.3,6.4,3.1,1.7,0.8,.454,.383,.745,10.4,.160,piercpa01
ORV,F,Antonio McDyess,26,DEN,34,620,0.055,0,,,70,36.5,20.8,12.1,2.1,0.6,1.5,.495,,.700,7.8,.146,mcdyean01
